O*NET-SOC Code,Title,Tech_Skill
11-1011.00,Chief Executives,Desktop calculator
11-1011.00,Chief Executives,Desktop computers
11-1011.00,Chief Executives,Notebook computers
11-1011.00,Chief Executives,Personal computers
11-1011.00,Chief Executives,Personal digital assistant PDAs or organizers
11-1011.00,Chief Executives,Mobile phones
11-1011.00,Chief Executives,High capacity removable media drives
11-1011.00,Chief Executives,Document management software
11-1011.00,Chief Executives,Data base user interface and query software
11-1011.00,Chief Executives,Content workflow software
11-1011.00,Chief Executives,Customer relationship management CRM software
11-1011.00,Chief Executives,Accounting software
11-1011.00,Chief Executives,Data base reporting software
11-1011.00,Chief Executives,Electronic mail software
11-1011.00,Chief Executives,Enterprise resource planning ERP software
11-1011.00,Chief Executives,Time accounting software
11-1011.00,Chief Executives,Enterprise application integration software
11-1011.00,Chief Executives,Graphics or photo imaging software
11-1011.00,Chief Executives,Human resources software
11-1011.00,Chief Executives,Project management software
11-1011.00,Chief Executives,Analytical or scientific software
11-1011.00,Chief Executives,Presentation software
11-1011.00,Chief Executives,Spreadsheet software
11-1011.00,Chief Executives,Financial analysis software
11-1011.00,Chief Executives,Office suite software
11-1011.00,Chief Executives,Desktop publishing software
11-1011.00,Chief Executives,Cloud-based data access and sharing software
11-1011.00,Chief Executives,Word processing software
11-1011.00,Chief Executives,Web platform development software
11-1011.00,Chief Executives,Data base management system software
11-1011.00,Chief Executives,Internet browser software
11-1011.03,Chief Sustainability Officers,Desktop calculator
11-1011.03,Chief Sustainability Officers,Scanners
11-1011.03,Chief Sustainability Officers,Desktop computers
11-1011.03,Chief Sustainability Officers,Portable data input terminals
11-1011.03,Chief Sustainability Officers,Notebook computers
11-1011.03,Chief Sustainability Officers,Special purpose telephones
11-1011.03,Chief Sustainability Officers,Personal computers
11-1011.03,Chief Sustainability Officers,Photocopiers
11-1011.03,Chief Sustainability Officers,Mobile phones
11-1011.03,Chief Sustainability Officers,Videoconferencing systems
11-1011.03,Chief Sustainability Officers,Document management software
11-1011.03,Chief Sustainability Officers,Graphics or photo imaging software
11-1011.03,Chief Sustainability Officers,Electronic mail software
11-1011.03,Chief Sustainability Officers,Web page creation and editing software
11-1011.03,Chief Sustainability Officers,Enterprise resource planning ERP software
11-1011.03,Chief Sustainability Officers,Data base user interface and query software
11-1011.03,Chief Sustainability Officers,Spreadsheet software
11-1011.03,Chief Sustainability Officers,Office suite software
11-1011.03,Chief Sustainability Officers,Presentation software
11-1011.03,Chief Sustainability Officers,Project management software
11-1011.03,Chief Sustainability Officers,Cloud-based data access and sharing software
11-1011.03,Chief Sustainability Officers,Word processing software
11-1011.03,Chief Sustainability Officers,Customer relationship management CRM software
11-1011.03,Chief Sustainability Officers,Calendar and scheduling software
