moduleCode,faculty,attributes,UE
ABM5001,Yong Loo Lin Sch of Medicine,,0
ABM5002,Yong Loo Lin Sch of Medicine,,0
ABM5003,Yong Loo Lin Sch of Medicine,,0
ABM5004,Yong Loo Lin Sch of Medicine,,0
ABM5101,Yong Loo Lin Sch of Medicine,,0
ABM5102,Yong Loo Lin Sch of Medicine,,0
ABM5103,Yong Loo Lin Sch of Medicine,,0
ABM5104,Yong Loo Lin Sch of Medicine,,0
ABM5105,Yong Loo Lin Sch of Medicine,,0
ABM5106,Yong Loo Lin Sch of Medicine,,0
ABM5107,Yong Loo Lin Sch of Medicine,,0
AC5001,College of Design and Engineering,,0
AC5002,College of Design and Engineering,,0
AC5007,College of Design and Engineering,,0
AC5008,College of Design and Engineering,,0
AC5009,College of Design and Engineering,,0
AC5010,College of Design and Engineering,,0
AC5011,College of Design and Engineering,,0
AC5012,College of Design and Engineering,,0
AC5014,College of Design and Engineering,,0
ACC1701A,NUS Business School,"{'mpes1': True, 'mpes2': True, 'su': True}",1
ACC1701B,NUS Business School,"{'mpes1': True, 'mpes2': True, 'su': True}",1
ACC1701C,NUS Business School,"{'mpes1': True, 'mpes2': True, 'su': True}",1
ACC1701D,NUS Business School,"{'mpes1': True, 'mpes2': True, 'su': True}",1
ACC1701X,NUS Business School,"{'mpes1': True, 'mpes2': True, 'su': True}",1
ACC2706,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC2707,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC2708,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC2709,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC2711,NUS Business School,,0
ACC3701,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3702,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3703,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3704,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3705,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3706,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3707,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC3714,NUS Business School,,0
ACC4711,NUS Business School,"{'mpes1': True, 'mpes2': True}",0
ACC4712,NUS Business School,{'mpes2': True},0
