Module Code,Faculty
ABM5001,Yong Loo Lin Sch of Medicine
ABM5002,Yong Loo Lin Sch of Medicine
ABM5003,Yong Loo Lin Sch of Medicine
ABM5004,Yong Loo Lin Sch of Medicine
ABM5101,Yong Loo Lin Sch of Medicine
ABM5102,Yong Loo Lin Sch of Medicine
ABM5103,Yong Loo Lin Sch of Medicine
ABM5104,Yong Loo Lin Sch of Medicine
ABM5105,Yong Loo Lin Sch of Medicine
ABM5106,Yong Loo Lin Sch of Medicine
ABM5107,Yong Loo Lin Sch of Medicine
AC5001,College of Design and Engineering
AC5002,College of Design and Engineering
AC5003,College of Design and Engineering
AC5004,College of Design and Engineering
AC5005,College of Design and Engineering
AC5006,College of Design and Engineering
AC5007,College of Design and Engineering
AC5008,College of Design and Engineering
AC5009,College of Design and Engineering
AC5010,College of Design and Engineering
AC5011,College of Design and Engineering
AC5012,College of Design and Engineering
AC5013,College of Design and Engineering
AC5014,College of Design and Engineering
AC5015,College of Design and Engineering
ACC1701,NUS Business School
ACC1701X,NUS Business School
ACC2706,NUS Business School
ACC2707,NUS Business School
ACC2708,NUS Business School
ACC2709,NUS Business School
ACC2711,NUS Business School
ACC3701,NUS Business School
ACC3702,NUS Business School
ACC3703,NUS Business School
ACC3704,NUS Business School
ACC3705,NUS Business School
ACC3706,NUS Business School
ACC3707,NUS Business School
ACC3711,NUS Business School
ACC3712,NUS Business School
ACC3713,NUS Business School
ACC3714,NUS Business School
ACC4162E,NUS Business School
ACC4611,NUS Business School
ACC4612,NUS Business School
ACC4612A,NUS Business School
ACC4612D,NUS Business School
ACC4612E,NUS Business School
ACC4612F,NUS Business School
ACC4612G,NUS Business School
ACC4612H,NUS Business School
ACC4612K,NUS Business School
ACC4613,NUS Business School
ACC4614,NUS Business School
ACC4615,NUS Business School
ACC4616,NUS Business School
ACC4619,NUS Business School
ACC4629,NUS Business School
ACC4711,NUS Business School
ACC4712,NUS Business School
ACC4713,NUS Business School
ACC4714,NUS Business School
ACC4715,NUS Business School
ACC4751,NUS Business School
ACC4752,NUS Business School
ACC4761,NUS Business School
ACC4761A,NUS Business School
ACC4761C,NUS Business School
ACC4761D,NUS Business School
ACC4761E,NUS Business School
ACC4761F,NUS Business School
ACC4761G,NUS Business School
ACC4761H,NUS Business School
ACE5401,Arts and Social Science
ACE5402,Arts and Social Science
ACE5403,Arts and Social Science
ACE5404,Arts and Social Science
ACE5405,Arts and Social Science
ACE5406,Arts and Social Science
ACE5407,Arts and Social Science
ACE5408,Arts and Social Science
ACE5409,Arts and Social Science
ACE5410,Arts and Social Science
ACE5411,Arts and Social Science
ACE5412,Arts and Social Science
ACE5413,Arts and Social Science
ACE5480,Arts and Social Science
AH2101,Arts and Social Science
AH2201,Arts and Social Science
AH2202,Arts and Social Science
AH2203,Arts and Social Science
AH2204,Arts and Social Science
AH3201,Arts and Social Science
AH3202,Arts and Social Science
AH3203,Arts and Social Science
AH3204,Arts and Social Science
AH3205,Arts and Social Science
AH3206,Arts and Social Science
AH3550,Arts and Social Science
ALS1010,Yong Loo Lin Sch of Medicine
ALS1010CP,NUS
ALS1020,NUS
AN1101E,Arts and Social Science
AN2101,Arts and Social Science
AN2202,Arts and Social Science
AN2203,Arts and Social Science
