Year,University,School,Degree,Properties
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,"{'Employment Rate (Overall)': 97.4, 'Employment Rate (Full-Time Permanent)': 96.1, 'Basic Monthly Salary': [3701.0, 3200.0], 'Gross Monthly Salary': [3727.0, 3350.0, 2900.0, 4000.0]}"
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),"{'Employment Rate (Overall)': 97.1, 'Employment Rate (Full-Time Permanent)': 95.7, 'Basic Monthly Salary': [2850.0, 2700.0], 'Gross Monthly Salary': [2938.0, 2700.0, 2700.0, 2900.0]}"
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),"{'Employment Rate (Overall)': 90.9, 'Employment Rate (Full-Time Permanent)': 85.7, 'Basic Monthly Salary': [3053.0, 3000.0], 'Gross Monthly Salary': [3214.0, 3000.0, 2700.0, 3500.0]}"
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,"{'Employment Rate (Overall)': 87.5, 'Employment Rate (Full-Time Permanent)': 87.5, 'Basic Monthly Salary': [3557.0, 3400.0], 'Gross Monthly Salary': [3615.0, 3400.0, 3000.0, 4100.0]}"
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,"{'Employment Rate (Overall)': 95.3, 'Employment Rate (Full-Time Permanent)': 95.3, 'Basic Monthly Salary': [3494.0, 3500.0], 'Gross Monthly Salary': [3536.0, 3500.0, 3100.0, 3816.0]}"
2013,Nanyang Technological University,College of Engineering,Bioengineering,"{'Employment Rate (Overall)': 81.3, 'Employment Rate (Full-Time Permanent)': 68.8, 'Basic Monthly Salary': [2952.0, 2900.0], 'Gross Monthly Salary': [3166.0, 3125.0, 2893.0, 3365.0]}"
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,"{'Employment Rate (Overall)': 87.3, 'Employment Rate (Full-Time Permanent)': 85.1, 'Basic Monthly Salary': [3235.0, 3000.0], 'Gross Monthly Salary': [3377.0, 3200.0, 3000.0, 3800.0]}"
2013,Nanyang Technological University,College of Engineering,Computer Engineering,"{'Employment Rate (Overall)': 90.3, 'Employment Rate (Full-Time Permanent)': 88.2, 'Basic Monthly Salary': [3326.0, 3100.0], 'Gross Monthly Salary': [3374.0, 3175.0, 3000.0, 3600.0]}"
2013,Nanyang Technological University,College of Engineering,Civil Engineering,"{'Employment Rate (Overall)': 94.8, 'Employment Rate (Full-Time Permanent)': 93.8, 'Basic Monthly Salary': [3091.0, 3000.0], 'Gross Monthly Salary': [3182.0, 3100.0, 3000.0, 3380.0]}"
2013,Nanyang Technological University,College of Engineering,Computer Science,"{'Employment Rate (Overall)': 92.1, 'Employment Rate (Full-Time Permanent)': 88.5, 'Basic Monthly Salary': [3249.0, 3000.0], 'Gross Monthly Salary': [3306.0, 3125.0, 3000.0, 3600.0]}"
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,"{'Employment Rate (Overall)': 91.0, 'Employment Rate (Full-Time Permanent)': 88.7, 'Basic Monthly Salary': [3133.0, 3000.0], 'Gross Monthly Salary': [3187.0, 3100.0, 3000.0, 3440.0]}"
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,"{'Employment Rate (Overall)': 84.0, 'Employment Rate (Full-Time Permanent)': 81.5, 'Basic Monthly Salary': [3091.0, 3000.0], 'Gross Monthly Salary': [3140.0, 3000.0, 3000.0, 3300.0]}"
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,"{'Employment Rate (Overall)': 85.7, 'Employment Rate (Full-Time Permanent)': 79.6, 'Basic Monthly Salary': [3160.0, 3150.0], 'Gross Monthly Salary': [3203.0, 3200.0, 2950.0, 3400.0]}"
2013,Nanyang Technological University,College of Engineering,Materials Engineering,"{'Employment Rate (Overall)': 82.5, 'Employment Rate (Full-Time Permanent)': 78.9, 'Basic Monthly Salary': [2989.0, 3000.0], 'Gross Monthly Salary': [3096.0, 3000.0, 2800.0, 3300.0]}"
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,"{'Employment Rate (Overall)': 91.6, 'Employment Rate (Full-Time Permanent)': 89.5, 'Basic Monthly Salary': [3125.0, 3000.0], 'Gross Monthly Salary': [3226.0, 3100.0, 3000.0, 3500.0]}"
2013,Nanyang Technological University,College of Engineering,Maritime Studies,"{'Employment Rate (Overall)': 95.6, 'Employment Rate (Full-Time Permanent)': 93.3, 'Basic Monthly Salary': [3050.0, 3000.0], 'Gross Monthly Salary': [3111.0, 3000.0, 2850.0, 3200.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media","{'Employment Rate (Overall)': 81.6, 'Employment Rate (Full-Time Permanent)': 61.4, 'Basic Monthly Salary': [2639.0, 2500.0], 'Gross Monthly Salary': [2638.0, 2500.0, 2300.0, 2900.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,"{'Employment Rate (Overall)': 85.1, 'Employment Rate (Full-Time Permanent)': 80.5, 'Basic Monthly Salary': [2818.0, 2800.0], 'Gross Monthly Salary': [2924.0, 3000.0, 2600.0, 3300.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,"{'Employment Rate (Overall)': 89.4, 'Employment Rate (Full-Time Permanent)': 79.6, 'Basic Monthly Salary': [2893.0, 2930.0], 'Gross Monthly Salary': [2956.0, 3000.0, 2700.0, 3250.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,"{'Employment Rate (Overall)': 89.9, 'Employment Rate (Full-Time Permanent)': 83.5, 'Basic Monthly Salary': [3085.0, 3000.0], 'Gross Monthly Salary': [3148.0, 3000.0, 2800.0, 3545.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,"{'Employment Rate (Overall)': 82.7, 'Employment Rate (Full-Time Permanent)': 67.3, 'Basic Monthly Salary': [3087.0, 3000.0], 'Gross Monthly Salary': [3179.0, 3100.0, 2800.0, 3400.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,"{'Employment Rate (Overall)': 90.6, 'Employment Rate (Full-Time Permanent)': 81.3, 'Basic Monthly Salary': [2691.0, 2600.0], 'Gross Monthly Salary': [2725.0, 2625.0, 2475.0, 3018.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,"{'Employment Rate (Overall)': 82.4, 'Employment Rate (Full-Time Permanent)': 71.8, 'Basic Monthly Salary': [3007.0, 3000.0], 'Gross Monthly Salary': [3061.0, 3000.0, 2750.0, 3255.0]}"
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,"{'Employment Rate (Overall)': 74.4, 'Employment Rate (Full-Time Permanent)': 55.8, 'Basic Monthly Salary': [2980.0, 3000.0], 'Gross Monthly Salary': [3082.0, 3100.0, 2800.0, 3310.0]}"
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,"{'Employment Rate (Overall)': 91.76495726495726, 'Employment Rate (Full-Time Permanent)': 81.97264957264957, 'Basic Monthly Salary': [3663.827491635043, 3537.8017094017096], 'Gross Monthly Salary': [3781.2550874, 3631.195799145299, 3298.313247863248, 4093.868961538462]}"
