Semester,Module,Workload,Faculties ,Major 
Semester 1,CS1010E Programming Methodology,4,Computing ,Industrial Design & Engineering 
Semester 1,DTK1234 Design Thinking,4,Computing ,Industrial Design & Engineering 
Semester 1,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 1,IE1111R Industrial & Systems Engineering Principles & Practice I,4,Computing ,Industrial Design & Engineering 
Semester 1,MA1511 Engineering Calculus,2,Computing ,Industrial Design & Engineering 
Semester 1,MA1512 Differential Equations for Engineering,2,Computing ,Industrial Design & Engineering 
Semester 2,ST2334 Probability and Statistics,4,Computing ,Industrial Design & Engineering 
Semester 2,EG1311 Design and Make,4,Computing ,Industrial Design & Engineering 
Semester 2,MA1508E Linear Algebra for Engineering,4,Computing ,Industrial Design & Engineering 
Semester 2,IE2111 Industrial & Systems Engineering Principles & Practice II,4,Computing ,Industrial Design & Engineering 
Semester 2,PF1101 Fundamentals of Project Management,4,Computing ,Industrial Design & Engineering 
Semester 3,CDE2000 Creating Narratives,4,Computing ,Industrial Design & Engineering 
Semester 3,IE2141 Systems Thinking and Dynamics,4,Computing ,Industrial Design & Engineering 
Semester 3,IE2110 Operations Research I,4,Computing ,Industrial Design & Engineering 
Semester 3,CS2040/CS2040DE Data Structures and Algorithms,4,Computing ,Industrial Design & Engineering 
Semester 3,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 4,CDE2501 Liveable Cities,4,Computing ,Industrial Design & Engineering 
Semester 4,EE2211 Introduction to Machine Learning,4,Computing ,Industrial Design & Engineering 
Semester 4,IE2100 Probability Models with Applications,4,Computing ,Industrial Design & Engineering 
Semester 4,ES2631 Critique and Communication of Thinking and Design,4,Computing ,Industrial Design & Engineering 
Semester 4,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 5,IE3101 Statistics for Engineering Applications,4,Computing ,Industrial Design & Engineering 
Semester 5,IE3110R Simulation,4,Computing ,Industrial Design & Engineering 
Semester 5,Technical Elective 1,4,Computing ,Industrial Design & Engineering 
Semester 5,EG2401A Engineering Professionalism,2,Computing ,Industrial Design & Engineering 
Semester 5,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 5,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 6,EG3611A Industrial Attachment,10,Computing ,Industrial Design & Engineering 
Semester 6,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 6,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 7,IE3100R Systems Design Project,4,Computing ,Industrial Design & Engineering 
Semester 7,Technical Elective 2,4,Computing ,Industrial Design & Engineering 
Semester 7,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 7,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 7,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 8,IE3100R Systems Design Project,4,Computing ,Industrial Design & Engineering 
Semester 8,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 8,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 8,GE/UE,4,Computing ,Industrial Design & Engineering 
Semester 8,GE/UE,4,Computing ,Industrial Design & Engineering 
