Title,Tech Skills
Chief Executives,['Desktop calculator']
Chief Executives,['Desktop computers']
Chief Executives,['Notebook computers']
Chief Executives,['Personal computers']
Chief Executives,['Personal digital assistant PDAs or organizers']
Chief Executives,['Mobile phones']
Chief Executives,['High capacity removable media drives']
Chief Executives,['Document management software']
Chief Executives,['Data base user interface and query software']
Chief Executives,['Content workflow software']
Chief Executives,['Customer relationship management CRM software']
Chief Executives,['Accounting software']
Chief Executives,['Data base reporting software']
Chief Executives,['Electronic mail software']
Chief Executives,['Enterprise resource planning ERP software']
Chief Executives,['Time accounting software']
Chief Executives,['Enterprise application integration software']
Chief Executives,['Graphics or photo imaging software']
Chief Executives,['Human resources software']
Chief Executives,['Project management software']
Chief Executives,['Analytical or scientific software']
Chief Executives,['Presentation software']
Chief Executives,['Spreadsheet software']
Chief Executives,['Financial analysis software']
Chief Executives,['Office suite software']
Chief Executives,['Desktop publishing software']
Chief Executives,['Cloud-based data access and sharing software']
Chief Executives,['Word processing software']
Chief Executives,['Web platform development software']
Chief Executives,['Data base management system software']
Chief Executives,['Internet browser software']
Chief Sustainability Officers,['Desktop calculator']
Chief Sustainability Officers,['Scanners']
Chief Sustainability Officers,['Desktop computers']
Chief Sustainability Officers,['Portable data input terminals']
Chief Sustainability Officers,['Notebook computers']
Chief Sustainability Officers,['Special purpose telephones']
Chief Sustainability Officers,['Personal computers']
Chief Sustainability Officers,['Photocopiers']
Chief Sustainability Officers,['Mobile phones']
Chief Sustainability Officers,['Videoconferencing systems']
Chief Sustainability Officers,['Document management software']
Chief Sustainability Officers,['Graphics or photo imaging software']
Chief Sustainability Officers,['Electronic mail software']
Chief Sustainability Officers,['Web page creation and editing software']
Chief Sustainability Officers,['Enterprise resource planning ERP software']
Chief Sustainability Officers,['Data base user interface and query software']
Chief Sustainability Officers,['Spreadsheet software']
Chief Sustainability Officers,['Office suite software']
Chief Sustainability Officers,['Presentation software']
Chief Sustainability Officers,['Project management software']
Chief Sustainability Officers,['Cloud-based data access and sharing software']
Chief Sustainability Officers,['Word processing software']
Chief Sustainability Officers,['Customer relationship management CRM software']
Chief Sustainability Officers,['Calendar and scheduling software']
Chief Sustainability Officers,['Business intelligence and data analysis software']
Chief Sustainability Officers,['Video conferencing software']
Chief Sustainability Officers,['Internet browser software']
General and Operations Managers,['Desktop calculator']
General and Operations Managers,['Mobile phones']
General and Operations Managers,['Scanners']
General and Operations Managers,['Magnetic stripe readers and encoders']
General and Operations Managers,['Desktop computers']
General and Operations Managers,['Digital cameras']
General and Operations Managers,['Hand trucks or accessories']
General and Operations Managers,['Temperature and humidity walk in environmental chamber']
General and Operations Managers,['Notebook computers']
General and Operations Managers,['Personal computers']
General and Operations Managers,['Personal digital assistant PDAs or organizers']
General and Operations Managers,['Photocopiers']
General and Operations Managers,['Point of sale POS terminal']
General and Operations Managers,['Surface testers']
General and Operations Managers,['Spectrometers']
General and Operations Managers,['Security cameras']
General and Operations Managers,['High vacuum equipment']
General and Operations Managers,['Customer relationship management CRM software']
General and Operations Managers,['Document management software']
General and Operations Managers,['Graphics or photo imaging software']
General and Operations Managers,['Human resources software']
General and Operations Managers,['Data base user interface and query software']
General and Operations Managers,['Data base management system software']
General and Operations Managers,['Video creation and editing software']
General and Operations Managers,['Presentation software']
General and Operations Managers,['Operating system software']
General and Operations Managers,['Project management software']
General and Operations Managers,['Content workflow software']
General and Operations Managers,['Computer aided design CAD software']
General and Operations Managers,['Calendar and scheduling software']
General and Operations Managers,['Access software']
General and Operations Managers,['Computer aided manufacturing CAM software']
General and Operations Managers,['Transaction server software']
General and Operations Managers,['Data mining software']
General and Operations Managers,['Enterprise resource planning ERP software']
General and Operations Managers,['Financial analysis software']
General and Operations Managers,['Cloud-based data access and sharing software']
General and Operations Managers,['Medical software']
General and Operations Managers,['Desktop communications software']
General and Operations Managers,['Word processing software']
General and Operations Managers,['Enterprise application integration software']
General and Operations Managers,['Web page creation and editing software']
General and Operations Managers,['Accounting software']
General and Operations Managers,['Geographic information system']
General and Operations Managers,['Sales and marketing software']
General and Operations Managers,['Instant messaging software']
General and Operations Managers,['Business intelligence and data analysis software']
General and Operations Managers,['Communications server software']
General and Operations Managers,['Electronic mail software']
General and Operations Managers,['Enterprise system management software']
General and Operations Managers,['Analytical or scientific software']
General and Operations Managers,['Facilities management software']
General and Operations Managers,['Inventory management software']
General and Operations Managers,['Time accounting software']
General and Operations Managers,['Information retrieval or search software']
General and Operations Managers,['Materials requirements planning logistics and supply chain software']
General and Operations Managers,['Transaction security and virus protection software']
General and Operations Managers,['Spreadsheet software']
General and Operations Managers,['Internet browser software']
General and Operations Managers,['Office suite software']
General and Operations Managers,['Desktop publishing software']
General and Operations Managers,['Process mapping and design software']
General and Operations Managers,['Development environment software']
General and Operations Managers,['Network monitoring software']
General and Operations Managers,['Point of sale POS software']
General and Operations Managers,['Object oriented data base management software']
General and Operations Managers,['Configuration management software']
General and Operations Managers,['Metadata management software']
General and Operations Managers,['Object or component oriented development software']
General and Operations Managers,['Data base reporting software']
General and Operations Managers,['Cloud-based management software']
General and Operations Managers,['Industrial control software']
General and Operations Managers,['Backup or archival software']
Legislators,['Laser printers']
Legislators,['Notebook computers']
Legislators,['Tablet computers']
Legislators,['Document management software']
Legislators,['Desktop publishing software']
Legislators,['Presentation software']
Legislators,['Word processing software']
Legislators,['Spreadsheet software']
Legislators,['Access software']
Legislators,['Video conferencing software']
Legislators,['Office suite software']
Legislators,['Communications server software']
Legislators,['Data base user interface and query software']
Legislators,['Map creation software']
Legislators,['Calendar and scheduling software']
Legislators,['Electronic mail software']
Legislators,['Cloud-based data access and sharing software']
Legislators,['Development environment software']
Legislators,['Internet browser software']
Legislators,['Music or sound editing software']
Advertising and Promotions Managers,['Scanners']
Advertising and Promotions Managers,['Desktop computers']
Advertising and Promotions Managers,['Portable data input terminals']
Advertising and Promotions Managers,['Notebook computers']
Advertising and Promotions Managers,['Laser fax machine']
Advertising and Promotions Managers,['Special purpose telephones']
Advertising and Promotions Managers,['Personal computers']
Advertising and Promotions Managers,['Personal digital assistant PDAs or organizers']
Advertising and Promotions Managers,['Photocopiers']
Advertising and Promotions Managers,['Tablet computers']
Advertising and Promotions Managers,['Business intelligence and data analysis software']
Advertising and Promotions Managers,['Document management software']
Advertising and Promotions Managers,['Video creation and editing software']
Advertising and Promotions Managers,['Graphics or photo imaging software']
Advertising and Promotions Managers,['Web page creation and editing software']
Advertising and Promotions Managers,['Desktop publishing software']
Advertising and Promotions Managers,['Data base reporting software']
Advertising and Promotions Managers,['Enterprise resource planning ERP software']
Advertising and Promotions Managers,['Analytical or scientific software']
Advertising and Promotions Managers,['Customer relationship management CRM software']
Advertising and Promotions Managers,['Data base user interface and query software']
Advertising and Promotions Managers,['Web platform development software']
Advertising and Promotions Managers,['Electronic mail software']
Advertising and Promotions Managers,['Project management software']
Advertising and Promotions Managers,['Enterprise application integration software']
Advertising and Promotions Managers,['Sales and marketing software']
Advertising and Promotions Managers,['Inventory management software']
Advertising and Promotions Managers,['Spreadsheet software']
Advertising and Promotions Managers,['Office suite software']
Advertising and Promotions Managers,['Presentation software']
Advertising and Promotions Managers,['Cloud-based data access and sharing software']
Advertising and Promotions Managers,['Data base management system software']
Advertising and Promotions Managers,['Operating system software']
Advertising and Promotions Managers,['Word processing software']
Advertising and Promotions Managers,['Information retrieval or search software']
Advertising and Promotions Managers,['Calendar and scheduling software']
Advertising and Promotions Managers,['Instant messaging software']
Advertising and Promotions Managers,['Internet browser software']
Marketing Managers,['Desktop computers']
Marketing Managers,['Laser fax machine']
Marketing Managers,['Notebook computers']
Marketing Managers,['Personal computers']
Marketing Managers,['Personal digital assistant PDAs or organizers']
Marketing Managers,['Photocopiers']
Marketing Managers,['Scanners']
Marketing Managers,['Tablet computers']
Marketing Managers,['Document management software']
Marketing Managers,['Development environment software']
Marketing Managers,['Video creation and editing software']
Marketing Managers,['Graphics or photo imaging software']
Marketing Managers,['Web page creation and editing software']
Marketing Managers,['Desktop publishing software']
Marketing Managers,['Data base user interface and query software']
Marketing Managers,['Data base management system software']
Marketing Managers,['Presentation software']
Marketing Managers,['Operating system software']
Marketing Managers,['Transaction server software']
Marketing Managers,['Project management software']
Marketing Managers,['Content workflow software']
Marketing Managers,['Customer relationship management CRM software']
Marketing Managers,['Web platform development software']
Marketing Managers,['Access software']
Marketing Managers,['Data base reporting software']
Marketing Managers,['Financial analysis software']
Marketing Managers,['Cloud-based data access and sharing software']
Marketing Managers,['Desktop communications software']
Marketing Managers,['Word processing software']
Marketing Managers,['Enterprise application integration software']
Marketing Managers,['Graphical user interface development software']
Marketing Managers,['Accounting software']
Marketing Managers,['Application server software']
Marketing Managers,['Sales and marketing software']
Marketing Managers,['Data mining software']
Marketing Managers,['Video conferencing software']
Marketing Managers,['Business intelligence and data analysis software']
Marketing Managers,['Communications server software']
Marketing Managers,['Electronic mail software']
Marketing Managers,['Enterprise system management software']
