module_entities,properties
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSA1000'},"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'LAG1201'},"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
{'HS2903'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HS2903'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSA1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSS1000'},"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSA1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
{'HSH1000'},"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
{'HSS1000'},"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
{'HSH1000'},"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
