Year,University,School,Degree,Properties
[2013],['Nanyang Technological University'],['College of Business (Nanyang Business School)'],['Accountancy and Business'],"{'Employment Rate (Overall)': 97.4, 'Employment Rate (Full-Time Permanent)': 96.1, 'Basic Monthly Salary': {'Mean': 3701.0, 'Median': 3200.0}, 'Gross Monthly Salary': {'Mean': 3727.0, 'Median': 3350.0, '25th Percentile': 2900.0, '75th Percentile': 4000.0}}"
[2013],['Nanyang Technological University'],['College of Business (Nanyang Business School)'],['Accountancy (3-yr direct Honours Programme)'],"{'Employment Rate (Overall)': 97.1, 'Employment Rate (Full-Time Permanent)': 95.7, 'Basic Monthly Salary': {'Mean': 2850.0, 'Median': 2700.0}, 'Gross Monthly Salary': {'Mean': 2938.0, 'Median': 2700.0, '25th Percentile': 2700.0, '75th Percentile': 2900.0}}"
[2013],['Nanyang Technological University'],['College of Business (Nanyang Business School)'],['Business (3-yr direct Honours Programme)'],"{'Employment Rate (Overall)': 90.9, 'Employment Rate (Full-Time Permanent)': 85.7, 'Basic Monthly Salary': {'Mean': 3053.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3214.0, 'Median': 3000.0, '25th Percentile': 2700.0, '75th Percentile': 3500.0}}"
[2013],['Nanyang Technological University'],['College of Business (Nanyang Business School)'],['Business and Computing'],"{'Employment Rate (Overall)': 87.5, 'Employment Rate (Full-Time Permanent)': 87.5, 'Basic Monthly Salary': {'Mean': 3557.0, 'Median': 3400.0}, 'Gross Monthly Salary': {'Mean': 3615.0, 'Median': 3400.0, '25th Percentile': 3000.0, '75th Percentile': 4100.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Aerospace Engineering'],"{'Employment Rate (Overall)': 95.3, 'Employment Rate (Full-Time Permanent)': 95.3, 'Basic Monthly Salary': {'Mean': 3494.0, 'Median': 3500.0}, 'Gross Monthly Salary': {'Mean': 3536.0, 'Median': 3500.0, '25th Percentile': 3100.0, '75th Percentile': 3816.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Bioengineering'],"{'Employment Rate (Overall)': 81.3, 'Employment Rate (Full-Time Permanent)': 68.8, 'Basic Monthly Salary': {'Mean': 2952.0, 'Median': 2900.0}, 'Gross Monthly Salary': {'Mean': 3166.0, 'Median': 3125.0, '25th Percentile': 2893.0, '75th Percentile': 3365.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Chemical and Biomolecular Engineering'],"{'Employment Rate (Overall)': 87.3, 'Employment Rate (Full-Time Permanent)': 85.1, 'Basic Monthly Salary': {'Mean': 3235.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3377.0, 'Median': 3200.0, '25th Percentile': 3000.0, '75th Percentile': 3800.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Computer Engineering'],"{'Employment Rate (Overall)': 90.3, 'Employment Rate (Full-Time Permanent)': 88.2, 'Basic Monthly Salary': {'Mean': 3326.0, 'Median': 3100.0}, 'Gross Monthly Salary': {'Mean': 3374.0, 'Median': 3175.0, '25th Percentile': 3000.0, '75th Percentile': 3600.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Civil Engineering'],"{'Employment Rate (Overall)': 94.8, 'Employment Rate (Full-Time Permanent)': 93.8, 'Basic Monthly Salary': {'Mean': 3091.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3182.0, 'Median': 3100.0, '25th Percentile': 3000.0, '75th Percentile': 3380.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Computer Science'],"{'Employment Rate (Overall)': 92.1, 'Employment Rate (Full-Time Permanent)': 88.5, 'Basic Monthly Salary': {'Mean': 3249.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3306.0, 'Median': 3125.0, '25th Percentile': 3000.0, '75th Percentile': 3600.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Electrical and Electronic Engineering'],"{'Employment Rate (Overall)': 91.0, 'Employment Rate (Full-Time Permanent)': 88.7, 'Basic Monthly Salary': {'Mean': 3133.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3187.0, 'Median': 3100.0, '25th Percentile': 3000.0, '75th Percentile': 3440.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Environmental Engineering'],"{'Employment Rate (Overall)': 84.0, 'Employment Rate (Full-Time Permanent)': 81.5, 'Basic Monthly Salary': {'Mean': 3091.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3140.0, 'Median': 3000.0, '25th Percentile': 3000.0, '75th Percentile': 3300.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Information Engineering and Media'],"{'Employment Rate (Overall)': 85.7, 'Employment Rate (Full-Time Permanent)': 79.6, 'Basic Monthly Salary': {'Mean': 3160.0, 'Median': 3150.0}, 'Gross Monthly Salary': {'Mean': 3203.0, 'Median': 3200.0, '25th Percentile': 2950.0, '75th Percentile': 3400.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Materials Engineering'],"{'Employment Rate (Overall)': 82.5, 'Employment Rate (Full-Time Permanent)': 78.9, 'Basic Monthly Salary': {'Mean': 2989.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3096.0, 'Median': 3000.0, '25th Percentile': 2800.0, '75th Percentile': 3300.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Mechanical Engineering'],"{'Employment Rate (Overall)': 91.6, 'Employment Rate (Full-Time Permanent)': 89.5, 'Basic Monthly Salary': {'Mean': 3125.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3226.0, 'Median': 3100.0, '25th Percentile': 3000.0, '75th Percentile': 3500.0}}"
[2013],['Nanyang Technological University'],['College of Engineering'],['Maritime Studies'],"{'Employment Rate (Overall)': 95.6, 'Employment Rate (Full-Time Permanent)': 93.3, 'Basic Monthly Salary': {'Mean': 3050.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3111.0, 'Median': 3000.0, '25th Percentile': 2850.0, '75th Percentile': 3200.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']","['Art, Design & Media']","{'Employment Rate (Overall)': 81.6, 'Employment Rate (Full-Time Permanent)': 61.4, 'Basic Monthly Salary': {'Mean': 2639.0, 'Median': 2500.0}, 'Gross Monthly Salary': {'Mean': 2638.0, 'Median': 2500.0, '25th Percentile': 2300.0, '75th Percentile': 2900.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Chinese'],"{'Employment Rate (Overall)': 85.1, 'Employment Rate (Full-Time Permanent)': 80.5, 'Basic Monthly Salary': {'Mean': 2818.0, 'Median': 2800.0}, 'Gross Monthly Salary': {'Mean': 2924.0, 'Median': 3000.0, '25th Percentile': 2600.0, '75th Percentile': 3300.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Communication Studies'],"{'Employment Rate (Overall)': 89.4, 'Employment Rate (Full-Time Permanent)': 79.6, 'Basic Monthly Salary': {'Mean': 2893.0, 'Median': 2930.0}, 'Gross Monthly Salary': {'Mean': 2956.0, 'Median': 3000.0, '25th Percentile': 2700.0, '75th Percentile': 3250.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Economics'],"{'Employment Rate (Overall)': 89.9, 'Employment Rate (Full-Time Permanent)': 83.5, 'Basic Monthly Salary': {'Mean': 3085.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3148.0, 'Median': 3000.0, '25th Percentile': 2800.0, '75th Percentile': 3545.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['English'],"{'Employment Rate (Overall)': 82.7, 'Employment Rate (Full-Time Permanent)': 67.3, 'Basic Monthly Salary': {'Mean': 3087.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3179.0, 'Median': 3100.0, '25th Percentile': 2800.0, '75th Percentile': 3400.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Linguistics and Multilingual Studies'],"{'Employment Rate (Overall)': 90.6, 'Employment Rate (Full-Time Permanent)': 81.3, 'Basic Monthly Salary': {'Mean': 2691.0, 'Median': 2600.0}, 'Gross Monthly Salary': {'Mean': 2725.0, 'Median': 2625.0, '25th Percentile': 2475.0, '75th Percentile': 3018.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Psychology'],"{'Employment Rate (Overall)': 82.4, 'Employment Rate (Full-Time Permanent)': 71.8, 'Basic Monthly Salary': {'Mean': 3007.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3061.0, 'Median': 3000.0, '25th Percentile': 2750.0, '75th Percentile': 3255.0}}"
[2013],['Nanyang Technological University'],"['College of Humanities, Arts & Social Sciences']",['Sociology'],"{'Employment Rate (Overall)': 74.4, 'Employment Rate (Full-Time Permanent)': 55.8, 'Basic Monthly Salary': {'Mean': 2980.0, 'Median': 3000.0}, 'Gross Monthly Salary': {'Mean': 3082.0, 'Median': 3100.0, '25th Percentile': 2800.0, '75th Percentile': 3310.0}}"
