Room,Day,Class No,Start Time,End Time,Weeks,lesson_type,size,module_code
AS1-0213,Tuesday,W25,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Tuesday,W28,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Tuesday,E07,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0213,Tuesday,D11,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0213,Tuesday,D09,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0213,Tuesday,E09,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0213,Tuesday,E10,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0213,Tuesday,D10,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Wednesday,W33,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Wednesday,D19,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0213,Wednesday,E15,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0213,Thursday,W41,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Thursday,W44,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Thursday,E26,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0213,Thursday,E21,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
AS1-0213,Thursday,8,1800,2000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,25,LAG1201
AS1-0213,Monday,W14,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Monday,W05,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Monday,W08,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0213,Monday,D02,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
AS1-0213,Monday,E3,1400,1600,"4, 6, 8, 10, 12",Tutorial,25,HS2903
AS1-0213,Monday,D3,1400,1600,"3, 5, 7, 9, 11",Tutorial,25,HS2903
AS1-0213,Friday,E31,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0213,Friday,E29,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0213,Friday,D31,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Friday,D29,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Friday,D27,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Friday,D23,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Friday,E23,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0213,Friday,E25,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0213,Friday,D25,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
AS1-0213,Friday,E27,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
AS1-0208,Tuesday,W26,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Tuesday,W23,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Tuesday,W20,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
AS1-0208,Tuesday,W17,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
