,moduleCode,title,semester_01,semester_02,semester_03,semester_04
0,ABM5001,Leadership in Biomedicine,0,1,0,0
1,ABM5002,Advanced Biostatistics for Research,0,1,0,0
2,ABM5003,Biomedical Innovation & Enterprise,1,0,0,0
3,ABM5004,Capstone Project,1,1,0,0
4,ABM5101,Applied Immunology,1,0,0,0
5,ABM5102,Vaccine development and its modern applications,1,0,0,0
6,ABM5103,Advanced technologies in immune therapeutic development,1,0,0,0
7,ABM5104,Microbiome-Aging-Immunity crosstalk,1,1,0,0
8,ABM5105,Drugs used in Infectious Diseases,1,0,0,0
9,ABM5106,Anticancer Therapeutics,0,1,0,0
10,ABM5107,"One World, One Health: Ecosystems, Animals and Us",1,0,0,0
11,AC5001,Architectural History of Singapore,1,0,0,0
12,AC5002,Conservation Approaches and Philosophies,1,0,0,0
13,AC5007,Dissertation,1,1,0,0
14,AC5008,Design for Conservation,0,1,0,0
15,AC5009,Design for Adaptive Reuse,1,0,0,0
16,AC5010,Historic Buildings Survey and Recording,0,1,0,0
17,AC5011,Conservation of C20th Buildings,1,0,0,0
18,AC5012,Practical Building Conservation Skills,0,1,0,0
19,AC5014,Internship,1,1,0,0
20,ACC1701A,Accounting for Decision Makers,1,0,0,0
21,ACC1701B,Accounting for Decision Makers,1,0,0,0
22,ACC1701C,Accounting for Decision Makers,1,0,0,0
23,ACC1701D,Accounting for Decision Makers,1,0,0,0
24,ACC1701X,Accounting for Decision Makers,1,1,0,0
25,ACC2706,Managerial Accounting,1,1,0,0
26,ACC2707,Corporate Accounting & Reporting I,1,1,0,0
27,ACC2708,Corporate Accounting & Reporting II,1,1,0,0
28,ACC2709,Accounting Information Systems,1,1,0,0
29,ACC2711,Sustainability Metrics and Performance Analysis,0,1,0,0
30,ACC3701,Assurance and Attestation,1,1,0,0
31,ACC3702,Corporate and Securities Law,1,1,0,0
32,ACC3703,Taxation,1,1,0,0
33,ACC3704,Advanced Corporate Accounting and Reporting,1,1,0,0
34,ACC3705,Valuation,1,1,0,0
35,ACC3706,"Governance, Risk Management and Sustainability",1,1,0,0
36,ACC3707,Integrated Perspectives in Accounting and Business,1,1,0,0
37,ACC3714,Accounting for Entrepreneurs: From Startup to Exit,0,1,0,0
38,ACC4711,Advanced Taxation,1,1,0,0
39,ACC4712,Forensic Accounting,1,1,0,0
40,ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,1,1,0,0
41,ACC4714,Advanced and Sustainability Assurance,0,1,0,0
42,ACC4751,Advanced Independent Study in Accounting,1,0,0,0
43,ACC4752,Advanced Independent Study in Accounting (2 MCs),1,0,0,0
44,ACC4761A,Seminars in Accounting: Internal Audit,0,1,0,0
45,ACE5401,Approaches to Arts & Cultural Entrepreneurship,0,1,0,0
46,ACE5402,Final Year Project,0,1,0,0
47,ACE5403,Internship,0,0,1,1
48,ACE5404,Heritage: Peoples and Institutions,1,0,0,0
49,ACE5405,Cultural Industries and the Law,0,1,0,0
50,ACE5406,Arts Business,1,1,0,0
51,ACE5407,"Museums, Exhibitions and the Curatorial",1,1,0,0
52,ACE5408,Managing Cultural Events,0,1,0,0
53,ACE5409,Applied Arts Research and Practice,1,0,0,0
54,ACE5410,Cultural Diplomacy and Intelligence,1,1,0,0
55,ACE5411,Cultural Analytics and Informatics,1,1,0,0
56,ACE5413,Consulting as an Advanced Communication & Career Skill,1,1,0,0
57,ACE5480,Topics in Arts and Cultural Entrepreneurship,0,1,0,0
58,AH2101,Introduction to Art History,1,1,0,0
59,AH2201,Chinese Painting: Styles and Masters,1,0,0,0
60,AH2203,"Empire and Art: India, Singapore, Malaya",0,1,0,0
61,AH2204,"Art in Southeast Asia, 4th-14th centuries CE",0,1,0,0
62,AH3204,Methods and Approaches to Art History,1,0,0,0
63,AH3205,Southeast Asian Art and Modernity,1,0,0,0
64,ALS1010,Learning to Learn Better,1,1,0,0
65,AN1101E,Anthropology & Human Condition,1,1,0,0
66,AN2101,Research Methods in Anthropology,1,0,0,0
67,AN2203,Peoples and Cultures of Southeast Asia,0,1,0,0
68,AN2204,Media Anthropology,0,1,0,0
69,AN2205,Food and Foodways,1,0,0,0
70,AN2206,Humans and Natures,0,1,0,0
71,AN3101,Anthropology and Theory,1,0,0,0
72,AN3203,Cultures of Kinship,1,0,0,0
73,AN3207,Senses and Society,0,1,0,0
74,AN3208,Critiquing Development,0,1,0,0
75,AN3209,Anthropology of Technology,1,0,0,0
76,AN3551,FASS Undergraduate Research Opportunity (UROP),1,0,0,0
77,AN4201,"Cultural Production: Power, Voice, Policies",0,1,0,0
78,AN4202,"Gender, Sex and Power",1,0,0,0
79,AN4210,Urban Anthropology,0,1,0,0
80,AR1101,Design I,1,0,0,0
81,AR1101A,"Design 1: Seeing, Thinking, Making",1,0,0,0
82,AR1102,Design 2,0,1,0,0
83,AR1328A,Architectural Materials and Construction,0,1,0,0
84,AR1329,"Climate, Ecology & Architecture",0,1,0,0
85,AR2101,Design 3,1,0,0,0
86,AR2102,Design 4,0,1,0,0
87,AR2225,Reading Visual Images,1,1,0,0
88,AR2227,History & Theory of Architecture I,0,1,0,0
89,AR2228,History & Theory of Architecture II,1,0,0,0
90,AR2328,Architectural Tectonics and Structural Systems,1,0,0,0
91,AR2328A,Architectural Tectonics and Structural Systems,1,0,0,0
92,AR2522,Computational Thinking: Performance Based Design,1,0,0,0
93,AR2524,Spatial Computational Thinking,0,1,0,0
94,AR3101,Design 5,1,0,0,0
95,AR3102,Design 6,0,1,0,0
96,AR3151,Design - ISM,0,1,0,0
97,AR3223,Introduction to Urbanism,1,0,0,0
98,AR3412,Work Experience Internship,1,1,0,0
99,AR3721,Building Environmental System Modelling,1,1,0,0
100,AR3722,Sustainable Environmental System,0,1,0,0
101,AR4002,Advanced Architectural Study 2,0,1,0,0
102,AR4421,Architecture Internship Programme,1,1,0,0
103,AR4955,Topics in Architectural Design,1,0,0,0
104,AR5011,Research Methodology,1,1,0,0
105,AR5121,Special Topics in Technology,1,0,0,0
106,AR5221,Contemporary Theories,0,1,0,0
107,AR5321,Advanced Architectural Integration,0,1,0,0
108,AR5323,Well & Green Built Environment,1,1,0,0
109,AR5423,Architectural Practice,1,1,0,0
110,AR5601,Urban Design Theory and Praxis,1,1,0,0
111,AR5666,Industrial Attachment,1,1,0,0
112,AR5770,Graduate Seminar,1,0,0,0
113,AR5801,Options Design Research Studio 1,1,1,0,0
114,AR5802,Options Design Research Studio 2,1,1,0,0
115,AR5803,Architectural & Technology Design 1,1,0,0,0
116,AR5804,Architectural & Technology Design 2,0,1,0,0
117,AR5805,Advanced Architecture Studio,1,0,0,0
118,AR5806,Architectural Design Research Report,1,0,0,0
119,AR5807,Architectural Design Thesis,1,1,0,0
120,AR5808,Final Design Project,0,1,0,0
121,AR5951E,Topics in History & Theory of Architecture 5,1,0,0,0
122,AR5951F,Topics in History & Theory of Architecture 6,1,0,0,0
123,AR5951G,Topics in History and Theory of Architecture 7,1,0,0,0
124,AR5951H,Topics in History and Theory of Architecture 8,1,0,0,0
125,AR5952F,Topics in Urbanism 6,1,0,0,0
126,AR5952H,Topics in Urbanism 8,1,0,0,0
127,AR5952J,Topics in Urbanism 10,1,0,0,0
128,AR5952K,Topics in Urbanism 11,1,0,0,0
129,AR5952L,Topics in Urbanism 12,1,0,0,0
130,AR5952M,Topics in Urbanism 13,1,0,0,0
131,AR5953E,Topics in Design Technology 5,1,0,0,0
132,AR5953G,Topics in Design Technology 7,1,0,0,0
