,Room,Day,Class No,Start Time,End Time,Weeks,lesson_type,size,module_code
0,AS1-0213,Tuesday,W25,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
1,AS1-0213,Tuesday,W28,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
2,AS1-0213,Tuesday,E07,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
3,AS1-0213,Tuesday,D11,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
4,AS1-0213,Tuesday,D09,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
5,AS1-0213,Tuesday,E09,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
6,AS1-0213,Tuesday,E10,1800,2000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
7,AS1-0213,Tuesday,D10,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
8,AS1-0213,Wednesday,W33,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
9,AS1-0213,Wednesday,D19,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
10,AS1-0213,Wednesday,E15,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
11,AS1-0213,Thursday,W41,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
12,AS1-0213,Thursday,W44,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
13,AS1-0213,Thursday,E26,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
14,AS1-0213,Thursday,E21,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSS1000
15,AS1-0213,Thursday,8,1800,2000,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Lecture,25,LAG1201
16,AS1-0213,Monday,W14,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
17,AS1-0213,Monday,W05,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
18,AS1-0213,Monday,W08,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
19,AS1-0213,Monday,D02,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
20,AS1-0213,Monday,E3,1400,1600,"4, 6, 8, 10, 12",Tutorial,25,HS2903
21,AS1-0213,Monday,D3,1400,1600,"3, 5, 7, 9, 11",Tutorial,25,HS2903
22,AS1-0213,Friday,E31,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
23,AS1-0213,Friday,E29,1400,1600,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
24,AS1-0213,Friday,D31,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
25,AS1-0213,Friday,D29,1400,1600,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
26,AS1-0213,Friday,D27,1200,1400,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
27,AS1-0213,Friday,D23,0800,1000,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
28,AS1-0213,Friday,E23,0800,1000,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
29,AS1-0213,Friday,E25,1000,1200,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
30,AS1-0213,Friday,D25,1000,1200,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
31,AS1-0213,Friday,E27,1200,1400,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
32,AS1-0208,Tuesday,W26,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
33,AS1-0208,Tuesday,W23,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
34,AS1-0208,Tuesday,W20,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
35,AS1-0208,Tuesday,W17,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
36,AS1-0208,Tuesday,W15,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
37,AS1-0208,Monday,W01,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
38,AS1-0208,Monday,W06,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
39,AS1-0208,Monday,W09,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
40,AS1-0208,Monday,W12,1600,1800,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
41,AS1-0208,Monday,W03,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
42,AS1-0208,Friday,W56,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
43,AS1-0208,Friday,W48,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
44,AS1-0208,Friday,W50,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
45,AS1-0208,Friday,W53,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
46,AS1-0208,Wednesday,W31,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
47,AS1-0208,Wednesday,W29,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
48,AS1-0208,Wednesday,W34,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
49,AS1-0208,Wednesday,D20,1800,2000,"3, 5, 7, 9, 11",Tutorial,20,HSS1000
50,AS1-0208,Thursday,W37,0800,1000,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
51,AS1-0208,Thursday,W39,1000,1200,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
52,AS1-0208,Thursday,W45,1400,1600,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
53,AS1-0208,Thursday,W42,1200,1400,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",Tutorial,20,HSH1000
54,AS1-0208,Thursday,D19,1600,1800,"3, 5, 7, 9, 11",Tutorial,20,HSA1000
55,AS1-0208,Thursday,E19,1600,1800,"4, 6, 8, 10, 12",Tutorial,20,HSA1000
