department_id,department,faculty
1,NUS Medicine Dean's Office,Yong Loo Lin Sch of Medicine
2,Architecture,College of Design and Engineering
3,Accounting,NUS Business School
4,Communications and New Media,Arts and Social Science
5,History,Arts and Social Science
6,Physiology,Yong Loo Lin Sch of Medicine
7,Office of the Provost,NUS
8,Sociology and Anthropology,Arts and Social Science
9,FASS DO/Office of Programmes,Arts and Social Science
10,Division of Graduate Medical Studies,Yong Loo Lin Sch of Medicine
11,Anatomy,Yong Loo Lin Sch of Medicine
12,NUS,Yong Loo Lin Sch of Medicine
13,Strategy and Policy,NUS Business School
14,BIZ Dean's Office,NUS Business School
15,Analytics and Operations,NUS Business School
16,Biological Sciences,Science
17,Management and Organisation,NUS Business School
18,Finance,NUS Business School
19,Marketing,NUS Business School
20,Surgery,Yong Loo Lin Sch of Medicine
21,Biomedical Engineering,College of Design and Engineering
22,Built Environment,College of Design and Engineering
23,Information Systems and Analytics,Computing
24,Computer Science,Computing
25,FoD Dean's Office,Dentistry
26,CDE Dean's Office,College of Design and Engineering
27,Southeast Asian Studies,Arts and Social Science
28,Geography,Arts and Social Science
29,Industrial Design,College of Design and Engineering
30,Civil and Environmental Engineering,College of Design and Engineering
31,Electrical and Computer Engineering,College of Design and Engineering
32,YSTCM Dean's Office,YST Conservatory of Music
33,Centre for Future-ready Grads,NUS
34,Computing and Engineering Programme,Multi Disciplinary Programme
35,Chinese Studies,Arts and Social Science
36,Chua Thian Poh Comm Leader Center,NUS
37,Chemistry,Science
38,Chemical and Biomolecular Engineering,College of Design and Engineering
39,SCALE Dean's Office,Cont and Lifelong Education
40,Physics,Science
41,SoC Dean's Office,Computing
42,Center for Engl Lang Comms,NUS
43,Center for Computational Science and Engineering,Science
44,NUS-ISS,NUS-ISS
45,Centre for Language Studies,Arts and Social Science
46,Economics,Arts and Social Science
47,"English,Ling.andTheatre Studies",Arts and Social Science
48,Political Science,Arts and Social Science
49,Japanese Studies,Arts and Social Science
50,Malay Studies,Arts and Social Science
51,Philosophy,Arts and Social Science
52,Psychology,Arts and Social Science
53,South Asian Studies,Arts and Social Science
54,Social Work,Arts and Social Science
55,University Scholars Programme,University Scholars Programme
56,Food Science and Technology,Science
57,Mathematics,Science
58,Physics,NUS
59,FoS Dean's Office,Science
60,Statistics and Data Science,Science
61,Raffles Hall,NUS
62,Office of Student Affairs,NUS
63,Eusoff Hall,NUS
64,NUS Centre for the Arts,NUS
65,King Edward VII Hall,NUS
66,Pioneer House,NUS
67,Temasek Hall,NUS
68,NUS Information Technology,NUS
69,Temasek Defence Systems Inst,Temasek Defence Sys. Institute
70,Division of Graduate Dental Studies,Dentistry
71,Mechanical Engineering,College of Design and Engineering
72,Centre for Biomedical Ethics,Yong Loo Lin Sch of Medicine
73,Engineering Science Programme,College of Design and Engineering
74,NUS Enterprise Academy,NUS
75,Industrial Systems Engineering and Management,College of Design and Engineering
76,Risk Management Institute,Risk Management Institute
77,Asian Inst of Digital Finance,NUS
78,NUS College Dean's Office,NUS College
79,PharmacyandPharmaceuticalScience,Science
80,Microbiology and Immunology,Yong Loo Lin Sch of Medicine
81,SSH School of Public Health Dean's Office,SSH School of Public Health
82,NUS,NUS
83,Biochemistry,Yong Loo Lin Sch of Medicine
84,Materials Science and Engineering,College of Design and Engineering
85,Pharmacology,Yong Loo Lin Sch of Medicine
86,Tembusu College,Residential College
87,Residential College 4,Residential College
88,Real Estate,NUS Business School
89,Duke-NUS Dean's Office,Duke-NUS Medical School
90,Duke-NUS Medical School,Duke-NUS Medical School
91,NUSGS Dean’s Office,NUS Graduate School
92,Risk Management Institute,NUS
93,FoL Dean's Office,Law
94,Logistics Inst - Asia Pac,Logistics Inst-Asia Pac
95,Logistics Inst - Asia Pac,NUS
96,Mechanobiology Institute (MBI),Mechanobiology Institute (MBI)
97,Pathology,Yong Loo Lin Sch of Medicine
98,Medicine,Yong Loo Lin Sch of Medicine
99,Paediatrics,Yong Loo Lin Sch of Medicine
100,Office of the President,NUS
101,Materials Science,Science
102,Nanoengineering Programme,College of Design and Engineering
103,NUS College Dean's Office,NUS
104,Alice Lee Center for Nursing Studies,Yong Loo Lin Sch of Medicine
105,LKYSPP Dean's Office,LKY School of Public Policy
106,Center for Quantum Technologies,NUS Graduate School
107,Ridge View Residential College,Residential College
108,University Scholars Programme,Computing
109,College of Alice and Peter Tan,Residential College
110,Residential Colleges,Residential College
111,Yale-NUS College,Yale-NUS College
