Degree,Major,degree_entities,major_entities,relationships
Bachelor of Business Administration,Applied Business Analytics,"[('Bachelor of Business Administration', 'DEGREE')]","[('Applied Business Analytics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Applied Business Analytics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Business Economics,"[('Bachelor of Business Administration', 'DEGREE')]","[('Business Economics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Business Economics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Finance,"[('Bachelor of Business Administration', 'DEGREE')]","[('Finance', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Finance', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Innovation and Entrepreneurship,"[('Bachelor of Business Administration', 'DEGREE')]","[('Innovation and Entrepreneurship', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Innovation and Entrepreneurship', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Leadership and Human Capital Management,"[('Bachelor of Business Administration', 'DEGREE')]","[('Leadership and Human Capital Management', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Leadership and Human Capital Management', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Marketing,"[('Bachelor of Business Administration', 'DEGREE')]","[('Marketing', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Marketing', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Operations and Supply Chain Management,"[('Bachelor of Business Administration', 'DEGREE')]","[('Operations and Supply Chain Management', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Operations and Supply Chain Management', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Accountancy,"[('Bachelor of Business Administration', 'DEGREE')]","[('Accountancy', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Accountancy', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Real Estate,"[('Bachelor of Business Administration', 'DEGREE')]","[('Real Estate', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Real Estate', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Business Analytics,"[('Bachelor of Computing', 'DEGREE')]","[('Business Analytics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Business Analytics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Engineering,"[('Bachelor of Computing', 'DEGREE')]","[('Computer Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Computer Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Science,"[('Bachelor of Computing', 'DEGREE')]","[('Computer Science', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Computer Science', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Information Security,"[('Bachelor of Computing', 'DEGREE')]","[('Information Security', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Information Security', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
