department_id,department,faculty,Department_entities,Faculty_entities
NUSDP0001,NUS Medicine Dean's Office,Yong Loo Lin Sch of Medicine,"[(""NUS Medicine Dean's Office"", 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0002,Architecture,College of Design and Engineering,"[('Architecture', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0003,Accounting,NUS Business School,"[('Accounting', 'DEPARTMENT')]","[('NUS Business School', 'FACULTY')]"
NUSDP0004,Communications and New Media,Arts and Social Science,"[('Communications and New Media', 'DEPARTMENT')]","[('Arts and Social Science', 'FACULTY')]"
NUSDP0005,History,Arts and Social Science,"[('History', 'DEPARTMENT')]","[('Arts and Social Science', 'FACULTY')]"
NUSDP0006,Physiology,Yong Loo Lin Sch of Medicine,"[('Physiology', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0007,Office of the Provost,NUS,"[('Office of the Provost', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0008,Sociology and Anthropology,Arts and Social Science,"[('Sociology and Anthropology', 'DEPARTMENT')]","[('Arts and Social Science', 'FACULTY')]"
NUSDP0009,FASS DO/Office of Programmes,Arts and Social Science,"[('FASS DO/Office of Programmes', 'DEPARTMENT')]","[('Arts and Social Science', 'FACULTY')]"
NUSDP0010,Division of Graduate Medical Studies,Yong Loo Lin Sch of Medicine,"[('Division of Graduate Medical Studies', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0011,Anatomy,Yong Loo Lin Sch of Medicine,"[('Anatomy', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0012,NUS,Yong Loo Lin Sch of Medicine,"[('NUS', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0013,Strategy and Policy,NUS Business School,"[('Strategy and Policy', 'DEPARTMENT')]","[('NUS Business School', 'FACULTY')]"
