Degree,Major,degree_entities,major_entities,relationships
Bachelor of Business Administration,Applied Business Analytics,"[('Bachelor of Business Administration', 'Degree')]","[('Applied Business Analytics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Applied Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Business Economics,"[('Bachelor of Business Administration', 'Degree')]","[('Business Economics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Business Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Finance,"[('Bachelor of Business Administration', 'Degree')]","[('Finance', 'Major')]","[{'from_type': 'Major', 'from_id': 'Finance', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Innovation and Entrepreneurship,"[('Bachelor of Business Administration', 'Degree')]","[('Innovation and Entrepreneurship', 'Major')]","[{'from_type': 'Major', 'from_id': 'Innovation and Entrepreneurship', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Leadership and Human Capital Management,"[('Bachelor of Business Administration', 'Degree')]","[('Leadership and Human Capital Management', 'Major')]","[{'from_type': 'Major', 'from_id': 'Leadership and Human Capital Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Marketing,"[('Bachelor of Business Administration', 'Degree')]","[('Marketing', 'Major')]","[{'from_type': 'Major', 'from_id': 'Marketing', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Operations and Supply Chain Management,"[('Bachelor of Business Administration', 'Degree')]","[('Operations and Supply Chain Management', 'Major')]","[{'from_type': 'Major', 'from_id': 'Operations and Supply Chain Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Accountancy,"[('Bachelor of Business Administration', 'Degree')]","[('Accountancy', 'Major')]","[{'from_type': 'Major', 'from_id': 'Accountancy', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Real Estate,"[('Bachelor of Business Administration', 'Degree')]","[('Real Estate', 'Major')]","[{'from_type': 'Major', 'from_id': 'Real Estate', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Business Analytics,"[('Bachelor of Computing', 'Degree')]","[('Business Analytics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Engineering,"[('Bachelor of Computing', 'Degree')]","[('Computer Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Computer Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Science,"[('Bachelor of Computing', 'Degree')]","[('Computer Science', 'Major')]","[{'from_type': 'Major', 'from_id': 'Computer Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Information Security,"[('Bachelor of Computing', 'Degree')]","[('Information Security', 'Major')]","[{'from_type': 'Major', 'from_id': 'Information Security', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Information Systems,"[('Bachelor of Computing', 'Degree')]","[('Information Systems', 'Major')]","[{'from_type': 'Major', 'from_id': 'Information Systems', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
