Degree,Major,degree_entities,major_entities,relationship
Bachelor of Business Administration,Applied Business Analytics,['Bachelor of Business Administration'],['Applied Business Analytics'],"[{'from_type': 'Major', 'from_id': 'Applied Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Business Economics,['Bachelor of Business Administration'],['Business Economics'],"[{'from_type': 'Major', 'from_id': 'Business Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Finance,['Bachelor of Business Administration'],['Finance'],"[{'from_type': 'Major', 'from_id': 'Finance', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Innovation and Entrepreneurship,['Bachelor of Business Administration'],['Innovation and Entrepreneurship'],"[{'from_type': 'Major', 'from_id': 'Innovation and Entrepreneurship', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Leadership and Human Capital Management,['Bachelor of Business Administration'],['Leadership and Human Capital Management'],"[{'from_type': 'Major', 'from_id': 'Leadership and Human Capital Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Marketing,['Bachelor of Business Administration'],['Marketing'],"[{'from_type': 'Major', 'from_id': 'Marketing', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Operations and Supply Chain Management,['Bachelor of Business Administration'],['Operations and Supply Chain Management'],"[{'from_type': 'Major', 'from_id': 'Operations and Supply Chain Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Accountancy,['Bachelor of Business Administration'],['Accountancy'],"[{'from_type': 'Major', 'from_id': 'Accountancy', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Business Administration,Real Estate,['Bachelor of Business Administration'],['Real Estate'],"[{'from_type': 'Major', 'from_id': 'Real Estate', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'OFFERS'}]"
Bachelor of Computing,Business Analytics,['Bachelor of Computing'],['Business Analytics'],"[{'from_type': 'Major', 'from_id': 'Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'OFFERS'}]"
Bachelor of Computing,Computer Engineering,['Bachelor of Computing'],['Computer Engineering'],"[{'from_type': 'Major', 'from_id': 'Computer Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'OFFERS'}]"
