degree,Major,major_entities,degree_entities,relationships
Bachelor of Business Administration,Applied Business Analytics,"[('Applied Business Analytics', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Applied Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Business Economics,"[('Business Economics', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Business Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Finance,"[('Finance', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Finance', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Innovation and Entrepreneurship,"[('Innovation and Entrepreneurship', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Innovation and Entrepreneurship', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Leadership and Human Capital Management,"[('Leadership and Human Capital Management', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Leadership and Human Capital Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Marketing,"[('Marketing', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Marketing', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Operations and Supply Chain Management,"[('Operations and Supply Chain Management', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Operations and Supply Chain Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Accountancy,"[('Accountancy', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Accountancy', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Business Administration,Real Estate,"[('Real Estate', 'Major')]","[('Bachelor of Business Administration', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Real Estate', 'to_type': 'Degree', 'to_id': 'Bachelor of Business Administration', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Business Analytics,"[('Business Analytics', 'Major')]","[('Bachelor of Computing', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Business Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Engineering,"[('Computer Engineering', 'Major')]","[('Bachelor of Computing', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Computer Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Computer Science,"[('Computer Science', 'Major')]","[('Bachelor of Computing', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Computer Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Information Security,"[('Information Security', 'Major')]","[('Bachelor of Computing', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Information Security', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Computing,Information Systems,"[('Information Systems', 'Major')]","[('Bachelor of Computing', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Information Systems', 'to_type': 'Degree', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Dental Surgery,Dentistry,"[('Dentistry', 'Major')]","[('Bachelor of Dental Surgery', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Dentistry', 'to_type': 'Degree', 'to_id': 'Bachelor of Dental Surgery', 'type': 'IS_UNDER'}]"
