Subject,Predicate,Object
Applied Business Analytics,is_under,Bachelor of Business Administration
Business Economics,is_under,Bachelor of Business Administration
Finance,is_under,Bachelor of Business Administration
Innovation and Entrepreneurship,is_under,Bachelor of Business Administration
Leadership and Human Capital Management,is_under,Bachelor of Business Administration
Marketing,is_under,Bachelor of Business Administration
Operations and Supply Chain Management,is_under,Bachelor of Business Administration
Accountancy,is_under,Bachelor of Business Administration
Real Estate,is_under,Bachelor of Business Administration
Business Analytics,is_under,Bachelor of Computing
Computer Engineering,is_under,Bachelor of Computing
Computer Science,is_under,Bachelor of Computing
Information Security,is_under,Bachelor of Computing
Information Systems,is_under,Bachelor of Computing
Dentistry,is_under,Bachelor of Dental Surgery
Biomedical Engineering,is_under,Bachelor of Engineering
Chemical Engineering,is_under,Bachelor of Engineering
Civil Engineering,is_under,Bachelor of Engineering
Electrical Engineering,is_under,Bachelor of Engineering
Engineering Science,is_under,Bachelor of Engineering
Environmental Engineering,is_under,Bachelor of Engineering
Industrial and Systems Engineering,is_under,Bachelor of Engineering
Infrastructure and Project Management,is_under,Bachelor of Engineering
Materials Science Engineering,is_under,Bachelor of Engineering
Mechanical Engineering,is_under,Bachelor of Engineering
Landscape Architecture,is_under,Bachelor of Landscare Architecture
Architecture,is_under,Bachelor of Arts
Industrial Design,is_under,Bachelor of Arts
Chinese Language,is_under,Bachelor of Arts
Chinese Studies,is_under,Bachelor of Arts
English Language and Linguistics,is_under,Bachelor of Arts
English Literature,is_under,Bachelor of Arts
Global Studies,is_under,Bachelor of Arts
History,is_under,Bachelor of Arts
Japanese Studies,is_under,Bachelor of Arts
Malay Studies,is_under,Bachelor of Arts
Philosophy,is_under,Bachelor of Arts
South Asian Studies,is_under,Bachelor of Arts
Southeast Asian Studies,is_under,Bachelor of Arts
Theatre and Performance Studies,is_under,Bachelor of Arts
Anthropology,is_under,Bachelor of Arts
Communications and New Media,is_under,Bachelor of Arts
Economics,is_under,Bachelor of Arts
Geography,is_under,Bachelor of Arts
Political Science,is_under,Bachelor of Arts
Psychology,is_under,Bachelor of Arts
Social Work,is_under,Bachelor of Arts
Sociology,is_under,Bachelor of Arts
"Philosophy, Politics and Economics",is_under,Bachelor of Arts
Environmental Studies,is_under,Bachelor of Environmental Studies
Data Science and Economics,is_under,Bachelor of Science
Chemistry,is_under,Bachelor of Science
Data Science and Analytics,is_under,Bachelor of Science
Food Science and Technology,is_under,Bachelor of Science
Life Sciences,is_under,Bachelor of Science
Mathematics,is_under,Bachelor of Science
Pharmaceutical Science,is_under,Bachelor of Science
Physics,is_under,Bachelor of Science
Quantitative Finance,is_under,Bachelor of Science
Statistics,is_under,Bachelor of Science
Nursing,is_under,Bachelor of Science
Nursing Practice,is_under,Bachelor of Science
Pharmacy,is_under,Bachelor of Pharmacy
Law,is_under,Bachelor of Law
Medicine,is_under,Bachelor of Medicine and Bachelor of Surgery
