Subject,Predicate,Object
ACC1701A,has_preclusion,ACC1002
ACC1701A,has_preclusion,ACC1002X
ACC1701A,has_preclusion,ACC1701
ACC1701A,has_preclusion,EC2204
ACC1701A,has_preclusion,RE1705
ACC1701B,has_preclusion,ACC1002
ACC1701B,has_preclusion,ACC1002X
ACC1701B,has_preclusion,ACC1701
ACC1701B,has_preclusion,EC2204
ACC1701B,has_preclusion,RE1705
ACC1701C,has_preclusion,ACC1002
ACC1701C,has_preclusion,ACC1002X
ACC1701C,has_preclusion,ACC1701
ACC1701C,has_preclusion,EC2204
ACC1701C,has_preclusion,RE1705
ACC1701D,has_preclusion,ACC1002
ACC1701D,has_preclusion,ACC1002X
ACC1701D,has_preclusion,ACC1701
ACC1701D,has_preclusion,EC2204
ACC1701D,has_preclusion,RE1705
ACC1701X,has_preclusion,ACC1002
ACC1701X,has_preclusion,EC2204
ACC1701X,has_preclusion,ACC1701
ACC2706,has_preclusion,ACC2002
ACC2706,has_preclusion,IE4242
ACC2707,has_preclusion,ACC3601
ACC2708,has_preclusion,ACC3601
ACC2709,has_preclusion,ACC1006
ACC3701,has_preclusion,ACC3603
ACC3702,has_preclusion,ACC3604
ACC3702,has_preclusion,LC2008
ACC3703,has_preclusion,LL4056
ACC3703,has_preclusion,ACC3605
ACC3704,has_preclusion,ACC3606
ACC3705,has_preclusion,ACC3614
ACC3706,has_preclusion,ACC3616
ACC3707,has_preclusion,ACC3619
ACC4711,has_preclusion,ACC4611
ACC4712,has_preclusion,ACC4613
ACC4713,has_preclusion,ACC4614
ACC4761A,has_preclusion,ACC4612A
AN2203,has_preclusion,SC2207
AN2204,has_preclusion,IF2214
AN2204,has_preclusion,SC2214
AN2205,has_preclusion,SC2215
AN2206,has_preclusion,SC2221
AN3203,has_preclusion,SC3207
AN3207,has_preclusion,SC3228
AN4201,has_preclusion,SC4226
AN4202,has_preclusion,SC4227
AN4210,has_preclusion,SC4206
AR2225,has_preclusion,GEK2044
AR2328A,has_preclusion,AR2328
BL5690,has_preclusion,BL5699
BL5690,has_preclusion,BL5699R
BL5699R,has_preclusion,BL5690
BL5699R,has_preclusion,BL5699
BMA5001,has_preclusion,BMS5110
BMA5001,has_preclusion,BMS5117
BMA5112,has_preclusion,BMP5002
BMA5112,has_preclusion,BMS5114
BMA5128,has_preclusion,BMA5313
BMA5313,has_preclusion,BMA5128
BMA5313,has_preclusion,BMF5346
BMA5314,has_preclusion,BMS5305
BMA5314,has_preclusion,BMS5310
BMA5432,has_preclusion,BMS5415
BMA5506,has_preclusion,BMS5513
BMA5524,has_preclusion,BMS5512
BMA5533,has_preclusion,BMS5505
