Subject,Predicate,Object
ABM5001,offered_by,NUS Medicine Dean's Office
ABM5002,offered_by,NUS Medicine Dean's Office
ABM5003,offered_by,NUS Medicine Dean's Office
ABM5004,offered_by,NUS Medicine Dean's Office
ABM5101,offered_by,NUS Medicine Dean's Office
ABM5102,offered_by,NUS Medicine Dean's Office
ABM5103,offered_by,NUS Medicine Dean's Office
ABM5104,offered_by,NUS Medicine Dean's Office
ABM5105,offered_by,NUS Medicine Dean's Office
ABM5106,offered_by,NUS Medicine Dean's Office
ABM5107,offered_by,NUS Medicine Dean's Office
AC5001,offered_by,Architecture
AC5002,offered_by,Architecture
AC5007,offered_by,Architecture
AC5008,offered_by,Architecture
AC5009,offered_by,Architecture
AC5010,offered_by,Architecture
AC5011,offered_by,Architecture
AC5012,offered_by,Architecture
AC5014,offered_by,Architecture
ACC1701A,offered_by,Accounting
ACC1701B,offered_by,Accounting
ACC1701C,offered_by,Accounting
ACC1701D,offered_by,Accounting
ACC1701X,offered_by,Accounting
ACC2706,offered_by,Accounting
ACC2707,offered_by,Accounting
ACC2708,offered_by,Accounting
ACC2709,offered_by,Accounting
ACC3701,offered_by,Accounting
ACC3702,offered_by,Accounting
ACC3703,offered_by,Accounting
ACC3704,offered_by,Accounting
ACC3705,offered_by,Accounting
ACC3706,offered_by,Accounting
ACC3707,offered_by,Accounting
ACC3715,offered_by,Accounting
ACC4711,offered_by,Accounting
ACC4712,offered_by,Accounting
ACC4713,offered_by,Accounting
ACC4751,offered_by,Accounting
ACC4752,offered_by,Accounting
ACC4761A,offered_by,Accounting
ACE5401,offered_by,Communications and New Media
ACE5402,offered_by,Communications and New Media
ACE5403,offered_by,Communications and New Media
ACE5404,offered_by,Communications and New Media
ACE5405,offered_by,Communications and New Media
ACE5406,offered_by,Communications and New Media
ACE5407,offered_by,Communications and New Media
ACE5408,offered_by,Communications and New Media
ACE5409,offered_by,Communications and New Media
ACE5410,offered_by,Communications and New Media
ACE5411,offered_by,Communications and New Media
ACE5413,offered_by,Communications and New Media
ACE5480,offered_by,Communications and New Media
AH2101,offered_by,History
AH2201,offered_by,History
AH2203,offered_by,History
AH2204,offered_by,History
AH3204,offered_by,History
AH3205,offered_by,History
ALS1010,offered_by,Physiology
AN1101E,offered_by,Sociology and Anthropology
AN2101,offered_by,Sociology and Anthropology
AN2203,offered_by,Sociology and Anthropology
AN2204,offered_by,Sociology and Anthropology
AN2205,offered_by,Sociology and Anthropology
AN2206,offered_by,Sociology and Anthropology
AN3101,offered_by,Sociology and Anthropology
AN3203,offered_by,Sociology and Anthropology
AN3207,offered_by,Sociology and Anthropology
AN3208,offered_by,Sociology and Anthropology
AN3209,offered_by,Sociology and Anthropology
AN3551,offered_by,Sociology and Anthropology
AN4201,offered_by,Sociology and Anthropology
AN4202,offered_by,Sociology and Anthropology
AN4210,offered_by,Sociology and Anthropology
AR1101,offered_by,Architecture
