Subject,Predicate,Object
ABM5001,teaches_skill,Leadership
ABM5002,teaches_skill,Research
ABM5002,teaches_skill,Extract
ABM5002,teaches_skill,Healthcare
ABM5003,teaches_skill,Research
ABM5003,teaches_skill,Research and Development
ABM5004,teaches_skill,Research
ABM5101,teaches_skill,Health
ABM5101,teaches_skill,Research
ABM5101,teaches_skill,Design
ABM5101,teaches_skill,Healthcare
ABM5102,teaches_skill,Immunization
ABM5102,teaches_skill,Design
ABM5102,teaches_skill,Healthcare
ABM5103,teaches_skill,Research
ABM5104,teaches_skill,Analytics
ABM5104,teaches_skill,Immunization
ABM5105,teaches_skill,Management
ABM5106,teaches_skill,Management
ABM5106,teaches_skill,Design
ABM5106,teaches_skill,Oncology
ABM5107,teaches_skill,Health
ABM5107,teaches_skill,Environment
ABM5107,teaches_skill,Surveillance
ABM5107,teaches_skill,Security
ABM5107,teaches_skill,Food Safety
AC5001,teaches_skill,Architecture
AC5001,teaches_skill,Consulting
AC5002,teaches_skill,Management
AC5002,teaches_skill,Architecture
AC5007,teaches_skill,Research
AC5007,teaches_skill,Critical Thinking
AC5007,teaches_skill,Architecture
AC5008,teaches_skill,Community Engagement
AC5008,teaches_skill,Interventions
AC5009,teaches_skill,Design
AC5010,teaches_skill,Research
AC5011,teaches_skill,Architecture
AC5011,teaches_skill,Materials
AC5011,teaches_skill,Concrete
AC5011,teaches_skill,Design
AC5012,teaches_skill,Materials
AC5012,teaches_skill,Investigation
AC5014,teaches_skill,Research
ACC1701A,teaches_skill,Accounting
ACC1701A,teaches_skill,Financial Statements
ACC1701A,teaches_skill,Financial Reporting
ACC1701A,teaches_skill,Reporting
ACC1701B,teaches_skill,Accounting
ACC1701B,teaches_skill,Financial Statements
ACC1701B,teaches_skill,Financial Reporting
ACC1701B,teaches_skill,Reporting
ACC1701C,teaches_skill,Accounting
ACC1701C,teaches_skill,Financial Statements
ACC1701C,teaches_skill,Financial Reporting
ACC1701C,teaches_skill,Reporting
ACC1701D,teaches_skill,Accounting
ACC1701D,teaches_skill,Financial Statements
ACC1701D,teaches_skill,Financial Reporting
ACC1701D,teaches_skill,Reporting
ACC1701X,teaches_skill,Accounting
ACC1701X,teaches_skill,Financial Statements
ACC1701X,teaches_skill,Financial Reporting
ACC1701X,teaches_skill,Reporting
ACC2706,teaches_skill,Accounting
ACC2706,teaches_skill,Environment
ACC2706,teaches_skill,Planning
ACC2707,teaches_skill,Accounting
ACC2707,teaches_skill,Financial Accounting
ACC2707,teaches_skill,Reporting
ACC2707,teaches_skill,Investment Properties
ACC2708,teaches_skill,Accounting
ACC2708,teaches_skill,Financial Accounting
ACC2708,teaches_skill,Tax
ACC2709,teaches_skill,Accounting
ACC2709,teaches_skill,Finance
ACC2709,teaches_skill,Business Operations
ACC2709,teaches_skill,Management
ACC2709,teaches_skill,Marketing
ACC3701,teaches_skill,Accounting
ACC3701,teaches_skill,Management
ACC3701,teaches_skill,Auditing
ACC3701,teaches_skill,Business Management
ACC3703,teaches_skill,Accounting
ACC3703,teaches_skill,Management
ACC3703,teaches_skill,Income Tax
ACC3703,teaches_skill,Tax
ACC3703,teaches_skill,Consulting
ACC3704,teaches_skill,Translation
ACC3704,teaches_skill,Accounting
ACC3704,teaches_skill,Financial Accounting
ACC3705,teaches_skill,Cash
ACC3705,teaches_skill,Cash Flow Analysis
ACC3706,teaches_skill,Accounting
ACC3706,teaches_skill,Economics
ACC3706,teaches_skill,Corporate Governance
ACC3706,teaches_skill,Finance
ACC3706,teaches_skill,Management
ACC3706,teaches_skill,Enterprise Risk Management
ACC3706,teaches_skill,Law
ACC3706,teaches_skill,Risk Management
ACC3715,teaches_skill,Intelligence
ACC3715,teaches_skill,Accounting
ACC3715,teaches_skill,Analytics
ACC3715,teaches_skill,Data Visualization
ACC3715,teaches_skill,Python
ACC3715,teaches_skill,Natural Language Processing
ACC3715,teaches_skill,Machine Learning
ACC3715,teaches_skill,Data Analytics
ACC4711,teaches_skill,Planning
ACC4711,teaches_skill,Tax
ACC4711,teaches_skill,Tax Planning
ACC4712,teaches_skill,Insurance
ACC4712,teaches_skill,Accounting
ACC4712,teaches_skill,Analytics
ACC4712,teaches_skill,Interviewing
ACC4712,teaches_skill,Tax
ACC4712,teaches_skill,Law
ACC4712,teaches_skill,Investigation
ACC4712,teaches_skill,Data Analytics
ACC4713,teaches_skill,Anti-Money Laundering
ACC4713,teaches_skill,Banking
ACC4713,teaches_skill,Management
ACC4713,teaches_skill,Analytics
ACC4713,teaches_skill,Auditing
ACC4713,teaches_skill,Internal Controls
ACC4713,teaches_skill,Credit
ACC4713,teaches_skill,Writing
ACC4713,teaches_skill,Design
ACC4713,teaches_skill,Data Analytics
ACC4751,teaches_skill,Research
ACC4751,teaches_skill,Accounting
ACC4751,teaches_skill,Writing
ACC4752,teaches_skill,Research
ACC4752,teaches_skill,Accounting
ACC4752,teaches_skill,Writing
ACC4761A,teaches_skill,Management
ACC4761A,teaches_skill,Auditing
ACC4761A,teaches_skill,Board of Directors
ACC4761A,teaches_skill,Internal Audits
ACE5401,teaches_skill,Management
ACE5401,teaches_skill,Entrepreneurship
ACE5401,teaches_skill,Tourism
ACE5401,teaches_skill,Design
ACE5402,teaches_skill,Research
ACE5402,teaches_skill,Networking
ACE5402,teaches_skill,Entrepreneurship
ACE5403,teaches_skill,Research
ACE5404,teaches_skill,Drawing
ACE5405,teaches_skill,Framing
ACE5405,teaches_skill,Law
ACE5405,teaches_skill,Writing
ACE5406,teaches_skill,Art
ACE5408,teaches_skill,Programming
ACE5408,teaches_skill,Budgeting
ACE5408,teaches_skill,Management
ACE5408,teaches_skill,Risk Assessment
ACE5408,teaches_skill,Critical Thinking
ACE5408,teaches_skill,Project Management
ACE5409,teaches_skill,Research
ACE5410,teaches_skill,Intelligence
ACE5410,teaches_skill,Art
ACE5410,teaches_skill,Management
ACE5410,teaches_skill,Education
ACE5410,teaches_skill,Planning
ACE5410,teaches_skill,Tourism
ACE5411,teaches_skill,Analytics
ACE5413,teaches_skill,Research
ACE5413,teaches_skill,Management
ACE5413,teaches_skill,Communication
ACE5413,teaches_skill,Consulting
ACE5413,teaches_skill,Drawing
ACE5480,teaches_skill,Research
ACE5480,teaches_skill,Entrepreneurship
ACE5480,teaches_skill,Teaching
AH2101,teaches_skill,Art
AH2101,teaches_skill,Painting
AH2101,teaches_skill,Architecture
AH2201,teaches_skill,Art
AH2201,teaches_skill,Painting
AH2201,teaches_skill,Visual Arts
AH2203,teaches_skill,Art
AH2203,teaches_skill,Painting
AH2203,teaches_skill,Materials
AH2203,teaches_skill,Photography
AH2203,teaches_skill,Investigation
AH2204,teaches_skill,Architecture
AH3204,teaches_skill,Art
AH3204,teaches_skill,Writing
AH3205,teaches_skill,Art
AN1101E,teaches_skill,Health
AN1101E,teaches_skill,Environment
