Subject,Predicate,Object
ABM5001,offered_in,semester_02
ABM5002,offered_in,semester_02
ABM5003,offered_in,semester_01
ABM5004,offered_in,semester_01
ABM5004,offered_in,semester_02
ABM5101,offered_in,semester_01
ABM5102,offered_in,semester_01
ABM5103,offered_in,semester_01
ABM5104,offered_in,semester_01
ABM5104,offered_in,semester_02
ABM5105,offered_in,semester_01
ABM5106,offered_in,semester_02
ABM5107,offered_in,semester_01
AC5001,offered_in,semester_01
AC5002,offered_in,semester_01
AC5007,offered_in,semester_01
AC5007,offered_in,semester_02
AC5008,offered_in,semester_02
AC5009,offered_in,semester_01
AC5010,offered_in,semester_02
AC5011,offered_in,semester_01
AC5012,offered_in,semester_02
AC5014,offered_in,semester_01
AC5014,offered_in,semester_02
ACC1701A,offered_in,semester_01
ACC1701A,offered_in,semester_02
ACC1701B,offered_in,semester_01
ACC1701B,offered_in,semester_02
ACC1701C,offered_in,semester_01
ACC1701C,offered_in,semester_02
ACC1701D,offered_in,semester_01
ACC1701X,offered_in,semester_01
ACC1701X,offered_in,semester_02
ACC2706,offered_in,semester_01
ACC2706,offered_in,semester_02
ACC2707,offered_in,semester_01
ACC2707,offered_in,semester_02
ACC2708,offered_in,semester_01
ACC2708,offered_in,semester_02
ACC2709,offered_in,semester_01
ACC2709,offered_in,semester_02
ACC3701,offered_in,semester_01
ACC3701,offered_in,semester_02
ACC3702,offered_in,semester_01
ACC3702,offered_in,semester_02
ACC3703,offered_in,semester_01
ACC3703,offered_in,semester_02
ACC3704,offered_in,semester_01
ACC3704,offered_in,semester_02
ACC3705,offered_in,semester_01
ACC3705,offered_in,semester_02
ACC3706,offered_in,semester_01
ACC3706,offered_in,semester_02
ACC3707,offered_in,semester_01
ACC3707,offered_in,semester_02
ACC3715,offered_in,semester_02
ACC4711,offered_in,semester_01
ACC4711,offered_in,semester_02
ACC4712,offered_in,semester_01
ACC4712,offered_in,semester_02
ACC4713,offered_in,semester_01
ACC4751,offered_in,semester_01
ACC4752,offered_in,semester_01
ACC4761A,offered_in,semester_02
ACE5401,offered_in,semester_02
ACE5402,offered_in,semester_02
ACE5403,offered_in,semester_03
ACE5403,offered_in,semester_04
ACE5404,offered_in,semester_01
ACE5405,offered_in,semester_02
ACE5406,offered_in,semester_01
ACE5406,offered_in,semester_02
ACE5407,offered_in,semester_01
ACE5407,offered_in,semester_02
ACE5408,offered_in,semester_02
ACE5409,offered_in,semester_01
ACE5410,offered_in,semester_01
ACE5410,offered_in,semester_02
ACE5411,offered_in,semester_01
ACE5411,offered_in,semester_02
ACE5413,offered_in,semester_01
ACE5413,offered_in,semester_02
ACE5480,offered_in,semester_02
AH2101,offered_in,semester_01
AH2101,offered_in,semester_02
AH2201,offered_in,semester_01
AH2203,offered_in,semester_02
AH2204,offered_in,semester_02
AH3204,offered_in,semester_01
AH3205,offered_in,semester_01
ALS1010,offered_in,semester_01
ALS1010,offered_in,semester_02
AN1101E,offered_in,semester_01
AN1101E,offered_in,semester_02
AN2101,offered_in,semester_01
AN2203,offered_in,semester_02
AN2204,offered_in,semester_02
AN2205,offered_in,semester_01
AN2206,offered_in,semester_02
AN3101,offered_in,semester_01
AN3203,offered_in,semester_01
AN3207,offered_in,semester_02
AN3208,offered_in,semester_02
AN3209,offered_in,semester_01
AN3551,offered_in,semester_01
AN4201,offered_in,semester_02
AN4202,offered_in,semester_01
AN4210,offered_in,semester_02
AR1101,offered_in,semester_01
AR1101A,offered_in,semester_01
AR1102,offered_in,semester_02
AR1328A,offered_in,semester_02
AR1329,offered_in,semester_02
AR2101,offered_in,semester_01
AR2102,offered_in,semester_02
AR2225,offered_in,semester_01
AR2225,offered_in,semester_02
AR2227,offered_in,semester_02
