Subject,Predicate,Object
Chief Executives,requires,Desktop calculator
Chief Executives,requires,Desktop computers
Chief Executives,requires,Notebook computers
Chief Executives,requires,Personal computers
Chief Executives,requires,Personal digital assistant PDAs or organizers
Chief Executives,requires,Mobile phones
Chief Executives,requires,High capacity removable media drives
Chief Executives,requires,Document management software
Chief Executives,requires,Data base user interface and query software
Chief Executives,requires,Content workflow software
Chief Executives,requires,Customer relationship management CRM software
Chief Executives,requires,Accounting software
Chief Executives,requires,Data base reporting software
Chief Executives,requires,Electronic mail software
Chief Executives,requires,Enterprise resource planning ERP software
Chief Executives,requires,Time accounting software
Chief Executives,requires,Enterprise application integration software
Chief Executives,requires,Graphics or photo imaging software
Chief Executives,requires,Human resources software
Chief Executives,requires,Project management software
Chief Executives,requires,Analytical or scientific software
Chief Executives,requires,Presentation software
Chief Executives,requires,Spreadsheet software
Chief Executives,requires,Financial analysis software
Chief Executives,requires,Office suite software
Chief Executives,requires,Desktop publishing software
Chief Executives,requires,Cloud-based data access and sharing software
Chief Executives,requires,Word processing software
Chief Executives,requires,Web platform development software
Chief Executives,requires,Data base management system software
Chief Executives,requires,Internet browser software
Chief Sustainability Officers,requires,Desktop calculator
Chief Sustainability Officers,requires,Scanners
Chief Sustainability Officers,requires,Desktop computers
Chief Sustainability Officers,requires,Portable data input terminals
Chief Sustainability Officers,requires,Notebook computers
Chief Sustainability Officers,requires,Special purpose telephones
Chief Sustainability Officers,requires,Personal computers
Chief Sustainability Officers,requires,Photocopiers
Chief Sustainability Officers,requires,Mobile phones
Chief Sustainability Officers,requires,Videoconferencing systems
Chief Sustainability Officers,requires,Document management software
Chief Sustainability Officers,requires,Graphics or photo imaging software
Chief Sustainability Officers,requires,Electronic mail software
Chief Sustainability Officers,requires,Web page creation and editing software
Chief Sustainability Officers,requires,Enterprise resource planning ERP software
Chief Sustainability Officers,requires,Data base user interface and query software
Chief Sustainability Officers,requires,Spreadsheet software
Chief Sustainability Officers,requires,Office suite software
Chief Sustainability Officers,requires,Presentation software
Chief Sustainability Officers,requires,Project management software
Chief Sustainability Officers,requires,Cloud-based data access and sharing software
Chief Sustainability Officers,requires,Word processing software
Chief Sustainability Officers,requires,Customer relationship management CRM software
Chief Sustainability Officers,requires,Calendar and scheduling software
Chief Sustainability Officers,requires,Business intelligence and data analysis software
Chief Sustainability Officers,requires,Video conferencing software
Chief Sustainability Officers,requires,Internet browser software
General and Operations Managers,requires,Desktop calculator
General and Operations Managers,requires,Mobile phones
General and Operations Managers,requires,Scanners
General and Operations Managers,requires,Magnetic stripe readers and encoders
General and Operations Managers,requires,Desktop computers
General and Operations Managers,requires,Digital cameras
General and Operations Managers,requires,Hand trucks or accessories
General and Operations Managers,requires,Temperature and humidity walk in environmental chamber
General and Operations Managers,requires,Notebook computers
General and Operations Managers,requires,Personal computers
General and Operations Managers,requires,Personal digital assistant PDAs or organizers
General and Operations Managers,requires,Photocopiers
General and Operations Managers,requires,Point of sale POS terminal
General and Operations Managers,requires,Surface testers
General and Operations Managers,requires,Spectrometers
General and Operations Managers,requires,Security cameras
General and Operations Managers,requires,High vacuum equipment
General and Operations Managers,requires,Customer relationship management CRM software
General and Operations Managers,requires,Document management software
General and Operations Managers,requires,Graphics or photo imaging software
General and Operations Managers,requires,Human resources software
General and Operations Managers,requires,Data base user interface and query software
General and Operations Managers,requires,Data base management system software
General and Operations Managers,requires,Video creation and editing software
General and Operations Managers,requires,Presentation software
General and Operations Managers,requires,Operating system software
General and Operations Managers,requires,Project management software
General and Operations Managers,requires,Content workflow software
General and Operations Managers,requires,Computer aided design CAD software
General and Operations Managers,requires,Calendar and scheduling software
General and Operations Managers,requires,Access software
General and Operations Managers,requires,Computer aided manufacturing CAM software
General and Operations Managers,requires,Transaction server software
General and Operations Managers,requires,Data mining software
General and Operations Managers,requires,Enterprise resource planning ERP software
General and Operations Managers,requires,Financial analysis software
General and Operations Managers,requires,Cloud-based data access and sharing software
General and Operations Managers,requires,Medical software
General and Operations Managers,requires,Desktop communications software
General and Operations Managers,requires,Word processing software
General and Operations Managers,requires,Enterprise application integration software
General and Operations Managers,requires,Web page creation and editing software
General and Operations Managers,requires,Accounting software
General and Operations Managers,requires,Geographic information system
General and Operations Managers,requires,Sales and marketing software
General and Operations Managers,requires,Instant messaging software
General and Operations Managers,requires,Business intelligence and data analysis software
General and Operations Managers,requires,Communications server software
General and Operations Managers,requires,Electronic mail software
General and Operations Managers,requires,Enterprise system management software
General and Operations Managers,requires,Analytical or scientific software
General and Operations Managers,requires,Facilities management software
General and Operations Managers,requires,Inventory management software
General and Operations Managers,requires,Time accounting software
General and Operations Managers,requires,Information retrieval or search software
General and Operations Managers,requires,Materials requirements planning logistics and supply chain software
General and Operations Managers,requires,Transaction security and virus protection software
General and Operations Managers,requires,Spreadsheet software
General and Operations Managers,requires,Internet browser software
General and Operations Managers,requires,Office suite software
General and Operations Managers,requires,Desktop publishing software
General and Operations Managers,requires,Process mapping and design software
General and Operations Managers,requires,Development environment software
General and Operations Managers,requires,Network monitoring software
General and Operations Managers,requires,Point of sale POS software
General and Operations Managers,requires,Object oriented data base management software
General and Operations Managers,requires,Configuration management software
General and Operations Managers,requires,Metadata management software
General and Operations Managers,requires,Object or component oriented development software
General and Operations Managers,requires,Data base reporting software
General and Operations Managers,requires,Cloud-based management software
General and Operations Managers,requires,Industrial control software
General and Operations Managers,requires,Backup or archival software
Legislators,requires,Laser printers
Legislators,requires,Notebook computers
Legislators,requires,Tablet computers
Legislators,requires,Document management software
Legislators,requires,Desktop publishing software
Legislators,requires,Presentation software
Legislators,requires,Word processing software
Legislators,requires,Spreadsheet software
Legislators,requires,Access software
Legislators,requires,Video conferencing software
Legislators,requires,Office suite software
Legislators,requires,Communications server software
Legislators,requires,Data base user interface and query software
Legislators,requires,Map creation software
Legislators,requires,Calendar and scheduling software
Legislators,requires,Electronic mail software
Legislators,requires,Cloud-based data access and sharing software
Legislators,requires,Development environment software
Legislators,requires,Internet browser software
Legislators,requires,Music or sound editing software
Advertising and Promotions Managers,requires,Scanners
Advertising and Promotions Managers,requires,Desktop computers
Advertising and Promotions Managers,requires,Portable data input terminals
Advertising and Promotions Managers,requires,Notebook computers
Advertising and Promotions Managers,requires,Laser fax machine
Advertising and Promotions Managers,requires,Special purpose telephones
Advertising and Promotions Managers,requires,Personal computers
Advertising and Promotions Managers,requires,Personal digital assistant PDAs or organizers
Advertising and Promotions Managers,requires,Photocopiers
Advertising and Promotions Managers,requires,Tablet computers
Advertising and Promotions Managers,requires,Business intelligence and data analysis software
Advertising and Promotions Managers,requires,Document management software
Advertising and Promotions Managers,requires,Video creation and editing software
Advertising and Promotions Managers,requires,Graphics or photo imaging software
Advertising and Promotions Managers,requires,Web page creation and editing software
Advertising and Promotions Managers,requires,Desktop publishing software
Advertising and Promotions Managers,requires,Data base reporting software
Advertising and Promotions Managers,requires,Enterprise resource planning ERP software
Advertising and Promotions Managers,requires,Analytical or scientific software
Advertising and Promotions Managers,requires,Customer relationship management CRM software
Advertising and Promotions Managers,requires,Data base user interface and query software
Advertising and Promotions Managers,requires,Web platform development software
Advertising and Promotions Managers,requires,Electronic mail software
Advertising and Promotions Managers,requires,Project management software
Advertising and Promotions Managers,requires,Enterprise application integration software
Advertising and Promotions Managers,requires,Sales and marketing software
