Subject,Predicate,Object
ACC1701X,teaches_skill,Inventory Management
ACC1701X,teaches_skill,Accounting
ACC1701X,teaches_skill,Cash
ACC1701X,teaches_skill,Management
ACC1701X,teaches_skill,Accounts Receivable
ACC1701X,teaches_skill,Sales
ACC1701X,teaches_skill,Financial Accounting
ACC1701X,teaches_skill,Internal Controls
ACC1701X,teaches_skill,Financial Statements
ACC1701X,teaches_skill,Warranty
ACC1701X,teaches_skill,Mechanics
ACC1701X,teaches_skill,C
AH2201,teaches_skill,Art
AH2201,teaches_skill,Research
AH2201,teaches_skill,English
ALS1010,teaches_skill,Health
ALS1010,teaches_skill,Wellness
AN2101,teaches_skill,Research
BN2403,teaches_skill,Design
BN2403,teaches_skill,Transform
BN5104,teaches_skill,English
BN5210,teaches_skill,Electrical
BSN3714,teaches_skill,Marketing
BSN3714,teaches_skill,Research
BSN3714,teaches_skill,Management
BSN3714,teaches_skill,Consulting
BSN3714,teaches_skill,Entrepreneurship
BSN3714,teaches_skill,Strategy
BSN3714,teaches_skill,Digital Strategy
BSN3714,teaches_skill,Teaching
BSN3714,teaches_skill,Networking
BSP1702,teaches_skill,Research
BSP1703,teaches_skill,Economics
BSP1703,teaches_skill,STEM
BT1101,teaches_skill,Data Mining
BT1101,teaches_skill,R
BT1101,teaches_skill,Forecasting
BT1101,teaches_skill,Business Analytics
BT1101,teaches_skill,Analytics
BT1101,teaches_skill,Testing
BT2101,teaches_skill,R
BT2101,teaches_skill,Interpreting
BT2101,teaches_skill,Business Analytics
BT2101,teaches_skill,Analytics
BT2102,teaches_skill,Tableau
BT2102,teaches_skill,SQL
BT2102,teaches_skill,Consultation
BT2102,teaches_skill,MySQL
BT2102,teaches_skill,Python
BT2102,teaches_skill,MongoDB
BT3017,teaches_skill,Pandas
BT3017,teaches_skill,Calculus
BT3017,teaches_skill,Analytics
BT3017,teaches_skill,Business Analytics
BT3017,teaches_skill,Algebra
BT3017,teaches_skill,Machine Learning
BT3017,teaches_skill,Python
BT3102,teaches_skill,Programming
BT3102,teaches_skill,Business Analytics
BT3102,teaches_skill,Machine Learning
BT3102,teaches_skill,Analytics
BT3102,teaches_skill,Army
BT3102,teaches_skill,R
BT3102,teaches_skill,Python
BT3102,teaches_skill,Teaching
BT3103,teaches_skill,GitHub
BT3103,teaches_skill,DevOps
BT3103,teaches_skill,Management
BT3103,teaches_skill,Git
BT3103,teaches_skill,JavaScript
BT3103,teaches_skill,Scrum
BT3103,teaches_skill,Project Management
BT3103,teaches_skill,HTML
BT3103,teaches_skill,Testing
BT4211,teaches_skill,Forecasting
BT4211,teaches_skill,Teaching
BT4212,teaches_skill,Google Analytics
BT4212,teaches_skill,R
BT4212,teaches_skill,Analytics
