Subject,Predicate,Object
Nanyang Technological University,offers,Accountancy and Business
Nanyang Technological University,offers,Accountancy (3-yr direct Honours Programme)
Nanyang Technological University,offers,Business (3-yr direct Honours Programme)
Nanyang Technological University,offers,Business and Computing
Nanyang Technological University,offers,Aerospace Engineering
Nanyang Technological University,offers,Bioengineering
Nanyang Technological University,offers,Chemical and Biomolecular Engineering
Nanyang Technological University,offers,Computer Engineering
Nanyang Technological University,offers,Civil Engineering
Nanyang Technological University,offers,Computer Science
Nanyang Technological University,offers,Electrical and Electronic Engineering
Nanyang Technological University,offers,Environmental Engineering
Nanyang Technological University,offers,Information Engineering and Media
Nanyang Technological University,offers,Materials Engineering
Nanyang Technological University,offers,Mechanical Engineering
Nanyang Technological University,offers,Maritime Studies
Nanyang Technological University,offers,"Art, Design & Media"
Nanyang Technological University,offers,Chinese
Nanyang Technological University,offers,Communication Studies
Nanyang Technological University,offers,Economics
Nanyang Technological University,offers,English
Nanyang Technological University,offers,Linguistics and Multilingual Studies
Nanyang Technological University,offers,Psychology
Nanyang Technological University,offers,Sociology
Nanyang Technological University,offers,Biomedical Sciences **
Nanyang Technological University,offers,Biomedical Sciences (Traditional Chinese Medicine) #
Nanyang Technological University,offers,Biological Sciences
Nanyang Technological University,offers,Chemistry & Biological Chemistry
Nanyang Technological University,offers,Mathematics & Economics **
Nanyang Technological University,offers,Mathematical Science
Nanyang Technological University,offers,Physics / Applied Physics
Nanyang Technological University,offers,Sports Science and Management
Nanyang Technological University,offers,Science (with Education)
Nanyang Technological University,offers,Arts (with Education)
National University of Singapore,offers,Bachelor of Arts
National University of Singapore,offers,Bachelor of Arts (Hons)
National University of Singapore,offers,Bachelor of Social Sciences
National University of Singapore,offers,Bachelor of Business Administration
National University of Singapore,offers,Bachelor of Business Administration (Hons)
National University of Singapore,offers,Bachelor of Business Administration (Accountancy)
National University of Singapore,offers,Bachelor of Business Administration (Accountancy) (Hons)
National University of Singapore,offers,Bachelor of Computing (Communications and Media)
National University of Singapore,offers,Bachelor of Computing (Computational Biology) **
National University of Singapore,offers,Bachelor of Computing (Computer Engineering) **
National University of Singapore,offers,Bachelor of Computing (Computer Science)
National University of Singapore,offers,Bachelor of Computing (Electronic Commerce)
National University of Singapore,offers,Bachelor of Computing (Information Systems)
National University of Singapore,offers,Bachelor of Dental Surgery
National University of Singapore,offers,Bachelor of Arts (Architecture) ** #
National University of Singapore,offers,Bachelor of Arts (Industrial Design)
National University of Singapore,offers,Bachelor of Science (Project and Facilities Management)
National University of Singapore,offers,Bachelor of Science (Real Estate)
National University of Singapore,offers,Bachelor of Engineering (Bioengineering)
National University of Singapore,offers,Bachelor of Engineering (Chemical Engineering)
National University of Singapore,offers,Bachelor of Engineering (Civil Engineering)
National University of Singapore,offers,Bachelor of Engineering (Computer Engineering)
National University of Singapore,offers,Bachelor of Engineering (Electrical Engineering)
National University of Singapore,offers,Bachelor of Engineering (Engineering Science)
National University of Singapore,offers,Bachelor of Engineering (Environmental Engineering)
National University of Singapore,offers,Bachelor of Engineering (Industrial and Systems Engineering)
National University of Singapore,offers,Bachelor of Engineering (Materials Science and Engineering)
National University of Singapore,offers,Bachelor of Engineering (Mechanical Engineering)
National University of Singapore,offers,Bachelor of Laws (LLB) (Hons) #
National University of Singapore,offers,Bachelor of Medicine and Bachelor of Surgery (MBBS) #
National University of Singapore,offers,Bachelor of Science (Nursing)
National University of Singapore,offers,Bachelor of Science (Nursing) (Hons)
National University of Singapore,offers,Bachelor of Music **
National University of Singapore,offers,Bachelor of Applied Science **
National University of Singapore,offers,Bachelor of Applied Science (Hons)
National University of Singapore,offers,Bachelor of Science
National University of Singapore,offers,Bachelor of Science (Hons)
National University of Singapore,offers,Bachelor of Science (Computational Biology) **
National University of Singapore,offers,Bachelor of Science (Pharmacy) (Hons) #
Singapore Management University,offers,Accountancy (4-years programme)
Singapore Management University,offers,Accountancy (4-years programme) Cum Laude and above
Singapore Management University,offers,Business Management (4-years programme)
Singapore Management University,offers,Business Management (4-years programme) Cum Laude and above
Singapore Management University,offers,Economics (4-years programme)
Singapore Management University,offers,Economics (4-years programme) Cum Laude and above
Singapore Management University,offers,Information Systems Management (4-years programme)
Singapore Management University,offers,Information Systems Management (4-years programme) Cum Laude and above
Singapore Management University,offers,Social Sciences (4-years programme)
