Subject,Predicate,Object
HSH1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
HSH1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
HSH1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
HSS1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
LAG1201,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
HSH1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
HSH1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
HS2903,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
HSA1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
HSA1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
HSA1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
HSA1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
HSA1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
HSH1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
HSH1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
HSH1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
HSH1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
HSH1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
HSH1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
HSH1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
HSH1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
HSS1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
HSH1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
HSH1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
EC4342/\u200bEC4342HM,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1500}"
EN4232/\u200bEN4232HM,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1500, 'End Time': 1800}"
TPS5212,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2100}"
AN2101,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
SN2213,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
LAR1201,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
LAJ3204,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
EL4255/\u200bEL4255HM,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1200, 'End Time': 1500}"
GL4883B/\u200bGL4883BHM,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 900, 'End Time': 1200}"
PS4230/\u200bPS4230HM,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1500, 'End Time': 1800}"
GL4881A/\u200bGL4881AHM,has_venue_properties,"{'Day': 'Friday', 'Start Time': 900, 'End Time': 1200}"
GL4882B/\u200bGL4882BHM,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 900, 'End Time': 1200}"
SW4102/\u200bSW4102HM,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1500, 'End Time': 1800}"
AN2205,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
LAM3201,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
HSS1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
HSS1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
HSS1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2000}"
HSS1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
HSS1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
HSS1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
HSS1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1400, 'End Time': 1600}"
HSS1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 800, 'End Time': 1000}"
HSS1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
HSS1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1600, 'End Time': 1800}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
HSS1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
HSA1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1800, 'End Time': 2000}"
HSA1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
HSA1000,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 800, 'End Time': 1000}"
HSA1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
HSA1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1800, 'End Time': 2000}"
HSA1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
HSA1000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
LAR4201/\u200bLAR4201HM,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
HSA1000,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 800, 'End Time': 1000}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 800, 'End Time': 1000}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
HSA1000,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1400, 'End Time': 1600}"
LAJ1201,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1800, 'End Time': 2000}"
LAJ1201,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
LAR1201,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1800, 'End Time': 2000}"
FAS1101,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1200, 'End Time': 1400}"
FAS1101,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1000, 'End Time': 1200}"
FAS1101,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1600, 'End Time': 1800}"
FAS1101,has_venue_properties,"{'Day': 'Tuesday', 'Start Time': 1400, 'End Time': 1600}"
FAS1101,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
FAS1101,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
FAS1101,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1000, 'End Time': 1200}"
FAS1101,has_venue_properties,"{'Day': 'Wednesday', 'Start Time': 1000, 'End Time': 1200}"
FAS1101,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1200, 'End Time': 1400}"
FAS1101,has_venue_properties,"{'Day': 'Friday', 'Start Time': 1000, 'End Time': 1200}"
LAR1201,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1600, 'End Time': 1800}"
FAS1101,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1000, 'End Time': 1200}"
FAS1101,has_venue_properties,"{'Day': 'Thursday', 'Start Time': 1200, 'End Time': 1400}"
HSS1000/\u200bCS2105,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1400, 'End Time': 1600}"
NM1101E/\u200bGL2104,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1600, 'End Time': 1800}"
NM3217,has_venue_properties,"{'Day': 'Monday', 'Start Time': 800, 'End Time': 1000}"
NM2104,has_venue_properties,"{'Day': 'Monday', 'Start Time': 900, 'End Time': 1000}"
NM3243,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1300}"
GEN2000,has_venue_properties,"{'Day': 'Monday', 'Start Time': 1200, 'End Time': 1400}"
BME5042/\u200bBME5051/\u200bBME5040,has_venue_properties,"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
BME5501,has_venue_properties,"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
BME5105,has_venue_properties,"{'Day': 'Monday', 'Start Time': 830, 'End Time': 1830}"
